"status","key","sheetRowId","dbRowId","country","routeFrom","routeTo","vehicleType","pax","sheetPrice","dbPrice","sheetCurrency","dbCurrency","decision","comment"
"only_in_sheet","thailand	phuket international airport hkt		standard class car","2446","","Thailand","Phuket International Airport (HKT)","","Standard class car","3","155","","EUR","","invalid_empty_to_exclude_from_eto","Google Sheet row has empty To field; verified live range A2438:M2452. Cannot import as fixed route."
"only_in_sheet","thailand	phuket international airport hkt		standard minivan 8 pax","2447","","Thailand","Phuket International Airport (HKT)","","Standard minivan 8 pax","8","175","","EUR","","invalid_empty_to_exclude_from_eto","Google Sheet row has empty To field; verified live range A2438:M2452. Cannot import as fixed route."
