"name","count","countries","cities","roles","samples","etoStatus","category"
"Sorgun","3","Turkey","Sorgun","to","Antalya Airport (AYT) -> Sorgun || Antalya Airport (AYT) -> Sorgun || Antalya Airport (AYT) -> Sorgun","missing","city"
"Taichung City","3","Taiwan","Taichung City","to","Taichung Airport (RMQ) -> Taichung City || Taichung Airport (RMQ) -> Taichung City || Taichung Airport (RMQ) -> Taichung City","missing","city"
"Titreyengol lake","3","Turkey","Titreyengol lake","to","Antalya Airport (AYT) -> Titreyengol lake || Antalya Airport (AYT) -> Titreyengol lake || Antalya Airport (AYT) -> Titreyengol lake","missing","city"
"Tornio/Haaparanta","3","Finland","Tornio/Haaparanta","to","Helsinki Vantaa airport (HEL) -> Tornio/Haaparanta || Helsinki Vantaa airport (HEL) -> Tornio/Haaparanta || Helsinki Vantaa airport (HEL) -> Tornio/Haaparanta","missing","city"
"Tosmur","3","Turkey","Tosmur","to","Antalya Airport (AYT) -> Tosmur || Antalya Airport (AYT) -> Tosmur || Antalya Airport (AYT) -> Tosmur","missing","city"
"Toulouse","3","France","Toulouse","to","Toulouse–Blagnac Airport (TLS) -> Toulouse || Toulouse–Blagnac Airport (TLS) -> Toulouse || Toulouse–Blagnac Airport (TLS) -> Toulouse","missing","city"
"Tufandag (Gabala)","3","Azerbaijan","Tufandag (Gabala)","to","Baku Heydar Aliyev International Airport (GYD) -> Tufandag (Gabala) || Baku Heydar Aliyev International Airport (GYD) -> Tufandag (Gabala) || Baku Heydar Aliyev International Airport (GYD) -> Tufandag (Gabala)","missing","city"
"Turunç (Marmaris)","3","Turkey","Turunç (Marmaris)","to","Dalaman Airport (DLM) -> Turunç (Marmaris) || Dalaman Airport (DLM) -> Turunç (Marmaris) || Dalaman Airport (DLM) -> Turunç (Marmaris)","missing","city"
"Umeå","3","Sweden","Umeå","to","Luleå Airport (LLA) -> Umeå || Umeå Airport (UME) -> Umeå || Umeå Airport (UME) -> Umeå","missing","city"
"Xinyuan Township","3","Taiwan","Xinyuan Township","to","Kaohsiung Airport (KHH) -> Xinyuan Township || Kaohsiung Airport (KHH) -> Xinyuan Township || Kaohsiung Airport (KHH) -> Xinyuan Township","missing","city"
"Yekaterinburg","3","Russia","Yekaterinburg","to","Yekaterinburg Koltsovo Airport (SVX) -> Yekaterinburg || Yekaterinburg Koltsovo Airport (SVX) -> Yekaterinburg || Yekaterinburg Koltsovo Airport (SVX) -> Yekaterinburg","missing","city"
"Yokohama City","3","Japan","Yokohama City","to","Tokyo Narita Airport (NRT) -> Yokohama City || Tokyo Narita Airport (NRT) -> Yokohama City || Tokyo Narita Airport (NRT) -> Yokohama City","missing","city"
"6 of October","2","Egypt","6 of October","to","Cairo International Airport (CAI) -> 6 of October || Cairo International Airport (CAI) -> 6 of October","missing","city"
"Aarhus","2","Denmark","Aarhus","to","Aarhus airport (AAR) -> Aarhus || Aarhus airport (AAR) -> Aarhus","missing","city"
"Åkersberga locality","2","Sweden","Åkersberga locality","to","Stockholm Arlanda Airport (ARN) -> Åkersberga locality || Stockholm Arlanda Airport (ARN) -> Åkersberga locality","missing","city"
"Anadolu transfer","2","Turkey","Istanbul","to","Bursa -> Anadolu transfer || Bursa -> Anadolu transfer","missing","city"
"Anapa","2","Russia","Anapa","to","Anapa Vityazevo Airport (AAQ) -> Anapa || Anapa Vityazevo Airport (AAQ) -> Anapa","missing","city"
"Ängelholm / Angelholm","2","Sweden","Ängelholm / Angelholm","to","Ängelholm Airport (AGH) -> Ängelholm / Angelholm || Ängelholm Airport (AGH) -> Ängelholm / Angelholm","missing","city"
"Ao Nam Mao, Krabi","2","Thailand","Ao Nam Mao, Krabi","to","Phuket International Airport (HKT) -> Ao Nam Mao, Krabi || Phuket International Airport (HKT) -> Ao Nam Mao, Krabi","missing","city"
"Ao Thalane Bay, Krabi","2","Thailand","Ao Thalane Bay, Krabi","to","Phuket International Airport (HKT) -> Ao Thalane Bay, Krabi || Phuket International Airport (HKT) -> Ao Thalane Bay, Krabi","missing","city"
"Arkhangelsk","2","Russia","Arkhangelsk","to","Arkhangelsk International Airport (ARH) -> Arkhangelsk || Arkhangelsk International Airport (ARH) -> Arkhangelsk","missing","city"
"Arrecife","2","Spain","Arrecife","to","Cesar Manrique-Lanzarote Airport (ACE) -> Arrecife || Cesar Manrique-Lanzarote Airport (ACE) -> Arrecife","missing","city"
"Ashgabat","2","Turkmenistan","Ashgabat","to","Ashgabat International Airport (ASB) -> Ashgabat || Ashgabat International Airport (ASB) -> Ashgabat","missing","city"
"Astrakhan'","2","Russia","Astrakhan'","to","Astrakhan' Narimanovo Airport (ASF) -> Astrakhan' || Astrakhan' Narimanovo Airport (ASF) -> Astrakhan'","missing","city"
"Ayia Napa","2","Cyprus","Ayia Napa","to","Larnaca Airport (LCA) -> Ayia Napa || Paphos Airport (PFO) -> Ayia Napa","missing","city"
"Bang Saen, Chon Buri","2","Thailand","Bang Saen, Chon Buri","to","Bangkok Suvarnabhumi Airport (BKK) -> Bang Saen, Chon Buri || Bangkok Suvarnabhumi Airport (BKK) -> Bang Saen, Chon Buri","missing","city"
"Bishkek","2","Kirgizstan","Bishkek","to","Bishkek Manas Airport (FRU) -> Bishkek || Bishkek Manas Airport (FRU) -> Bishkek","missing","city"
"Bursa","2","Turkey","Istanbul","from","Bursa -> Anadolu transfer || Bursa -> Anadolu transfer","missing","city"
"Bursa daily trip","2","Turkey","Istanbul","to","Istanbul -> Bursa daily trip || Istanbul -> Bursa daily trip","missing","city"
"Catania","2","Italy","Catania","to","Catania–Fontanarossa Airport (CTA) -> Catania || Catania–Fontanarossa Airport (CTA) -> Catania","missing","city"
"Central and Western","2","China","Central and Western","to","Hong Kong Airport (HKG) -> Central and Western || Hong Kong Airport (HKG) -> Central and Western","missing","city"
"Cerkezkoy daily trip","2","Turkey","Istanbul","to","European Side -> Cerkezkoy daily trip || European Side -> Cerkezkoy daily trip","missing","city"
