"name","count","countries","cities","roles","samples"
"Atlanta","3","United States of America","Atlanta","to","Hartsfield–Jackson Atlanta Airport (ATL) -> Atlanta || Hartsfield–Jackson Atlanta Airport (ATL) -> Atlanta || Hartsfield–Jackson Atlanta Airport (ATL) -> Atlanta"
"Avakas Bay","1","Cyprus","Avakas Bay","to","Larnaca Airport (LCA) -> Avakas Bay"
"Avdimou","1","Cyprus","Avdimou","to","Larnaca Airport (LCA) -> Avdimou"
"Avgorou","1","Cyprus","Avgorou","to","Larnaca Airport (LCA) -> Avgorou"
"Avsallar","5","Turkey","Avsallar","to","Antalya Airport (AYT) -> Avsallar || Antalya Airport (AYT) -> Avsallar || Antalya Airport (AYT) -> Avsallar"
"Ayia Napa","2","Cyprus","Ayia Napa","to","Larnaca Airport (LCA) -> Ayia Napa || Paphos Airport (PFO) -> Ayia Napa"
"Ayutthaya Provice","4","Thailand","Ayutthaya Provice","to","Bangkok Suvarnabhumi Airport (BKK) -> Ayutthaya Provice || Bangkok Suvarnabhumi Airport (BKK) -> Ayutthaya Provice || Bangkok Suvarnabhumi Airport (BKK) -> Ayutthaya Provice"
"Azov","1","Russia","Azov","to","Rostov-on-Don Platov Airport (ROV) -> Azov"
"Baan HuaHin (Koh Lanta) Thailand/ Hua Hin (Lanta) Thailand","2","Thailand","Baan HuaHin (Koh Lanta) Thailand/ Hua Hin (Lanta) Thailand","to","Krabi International Airport (KBV) -> Baan HuaHin (Koh Lanta) Thailand/ Hua Hin (Lanta) Thailand || Krabi International Airport (KBV) -> Baan HuaHin (Koh Lanta) Thailand/ Hua Hin (Lanta) Thailand"
"Bab Al Shams Desert Resor, Dubai","8","United Arab Emirates","Bab Al Shams Desert Resor, Dubai","to","Dubai international Airport (DXB) -> Bab Al Shams Desert Resor, Dubai || Dubai international Airport (DXB) -> Bab Al Shams Desert Resor, Dubai || Dubai international Airport (DXB) -> Bab Al Shams Desert Resor, Dubai"
"Bærum","1","Norway","Bærum","to","Oslo Gardermoen Airport (OSL) -> Bærum"
"Baikal International Airport (UUD)","2","Russia","Ulan-Ude","from","Baikal International Airport (UUD) -> Ulan-Ude || Baikal International Airport (UUD) -> Ulan-Ude"
"Bakersfield","14","United States of America","Bakersfield","to","John Wayne Airport (SNA) -> Bakersfield || John Wayne Airport (SNA) -> Bakersfield || John Wayne Airport (SNA) -> Bakersfield"
"Baku","7","Azerbaijan","Baku","to","Baku Heydar Aliyev International Airport (GYD) -> Baku || Baku Heydar Aliyev International Airport (GYD) -> Baku || Baku Heydar Aliyev International Airport (GYD) -> Baku"
"Baku Heydar Aliyev International Airport (GYD)","16","Azerbaijan","Baku|Naftalan|Shahdag (Quba, Qusar)|Tufandag (Gabala)","from","Baku Heydar Aliyev International Airport (GYD) -> Baku || Baku Heydar Aliyev International Airport (GYD) -> Baku || Baku Heydar Aliyev International Airport (GYD) -> Baku"
"Baltiysk","6","Russia","Baltiysk","to","Kaliningrad Khrabrovo Airport (KGD) -> Baltiysk || Kaliningrad Khrabrovo Airport (KGD) -> Baltiysk || Kaliningrad Khrabrovo Airport (KGD) -> Baltiysk"
"Ban Phe Port","2","Thailand","Bangkok","from","Ban Phe Port -> Bangkok || Ban Phe Port -> Bangkok"
"Bang Por","6","Thailand","Bang Por","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Bang Por || Koh Samui - Mae Nam Port (Surat Thani ) -> Bang Por || Phuket International Airport (HKT) -> Bang Por"
"Bang Saen, Chon Buri","2","Thailand","Bang Saen, Chon Buri","to","Bangkok Suvarnabhumi Airport (BKK) -> Bang Saen, Chon Buri || Bangkok Suvarnabhumi Airport (BKK) -> Bang Saen, Chon Buri"
"Bangkok","15","Thailand","Bangkok","to","Ban Phe Port -> Bangkok || Ban Phe Port -> Bangkok || Bangkok Don Muang Airport (DMK) -> Bangkok"
"Bangkok Don Muang Airport (DMK)","42","Thailand","Bangkok|Bangkok Don Muang Airport (DMK)|Bangkok Outskirts|Bangkok SUVarnabhumi Airport (BKK)|Erawan National Park (Kanchanaburi)|Hua Hin, PrachuapKhiriKhan|Kanchanaburi|Khao Yai National Park|Korat City (Nakhon Ratchasima)|Pattaya|Pattaya Jomtein beach, Pattaya|Phra Nakhon, Bangkok|Sangklaburi District Provincial|Sathorn district, Bangkok|Silom, Bangkok|Sukhumvit Road, Bangkok","from|to","Bangkok Don Muang Airport (DMK) -> Bangkok || Bangkok Don Muang Airport (DMK) -> Bangkok || Bangkok Don Muang Airport (DMK) -> Bangkok"
"Bangkok Hua lumpong Railway Station (Bangkok)","2","Thailand","Bangkok","from","Bangkok Hua lumpong Railway Station (Bangkok) -> Bangkok || Bangkok Hua lumpong Railway Station (Bangkok) -> Bangkok"
"Bangkok Outskirts","9","Thailand","Bangkok Outskirts","to","Bangkok Don Muang Airport (DMK) -> Bangkok Outskirts || Bangkok Don Muang Airport (DMK) -> Bangkok Outskirts || Bangkok Don Muang Airport (DMK) -> Bangkok Outskirts"
