Country,From,To,Type,Pax,Price,Currency,CAT,Transferz,Dottransfers,Talixo,Suntransfers,Alexandra
China,Beijing Daxing International Airport (PKX),Beijing city center,Standard Minibus 16pax,16,"€146,00",EUR,,,,,,
China,Beijing Daxing International Airport (PKX),Beijing city center,Standard minivan 6 pax,6,"€89,00",EUR,,,,,,
China,Guangzhou Baiyun International Airport (CAN),GuangZhou city center,Business class car,3,"€65,00",EUR,,,,,,
China,Guangzhou Baiyun International Airport (CAN),GuangZhou city center,Businessvan 6 pax,6,"€101,00",EUR,,,,,,
China,Guangzhou Baiyun International Airport (CAN),GuangZhou city center,Standard class car,3,"€54,00",EUR,,,,,,
China,Guangzhou Baiyun International Airport (CAN),GuangZhou city center,Standard Minibus 16pax,16,"€267,00",EUR,,,,,,
China,Guangzhou Baiyun International Airport (CAN),GuangZhou city center,Standard minivan 6 pax,6,"€64,00",EUR,,,,,,
China,Hong Kong Airport (HKG),Central and Western,Business class car,3,"€96,00",EUR,,,,,,
China,Hong Kong Airport (HKG),Central and Western,Standard minivan 6 pax,6,"€114,00",EUR,,,,,,
China,Hong Kong Airport (HKG),Estern district Hong Kong,Business class car,3,"€96,00",EUR,,,,,,
China,Hong Kong Airport (HKG),Estern district Hong Kong,Standard minivan 6 pax,6,"€114,00",EUR,,,,,,
China,Hong Kong Airport (HKG),Tai Po,Business class car,3,"€96,00",EUR,,,,,,
China,Hong Kong Airport (HKG),Tai Po,Businessvan 6 pax,6,"€130,00",EUR,,,,,,
China,Hong Kong Airport (HKG),Tai Po,Standard class car,3,"€91,00",EUR,,,,,,
China,Hong Kong Airport (HKG),Tai Po,Standard minivan 6 pax,6,"€114,00",EUR,,,,,,
China,Hong Kong Airport (HKG),Tuen Mun,Business class car,3,"€96,00",EUR,,,,,,
China,Hong Kong Airport (HKG),Tuen Mun,Businessvan 6 pax,6,"€130,00",EUR,,,,,,
China,Hong Kong Airport (HKG),Tuen Mun,Standard class car,3,"€91,00",EUR,,,,,,
China,Hong Kong Airport (HKG),Tuen Mun,Standard minivan 6 pax,6,"€114,00",EUR,,,,,,
China,Hong Kong Airport (HKG),"Wan Chai district, Hong Kong",Business class car,3,"€96,00",EUR,,,,,,
China,Hong Kong Airport (HKG),"Wan Chai district, Hong Kong",Standard minivan 6 pax,6,"€114,00",EUR,,,,,,
China,Hong Kong Airport (HKG),Wong Tai Sin,Business class car,3,"€68,00",EUR,,,,,,
China,Hong Kong Airport (HKG),Wong Tai Sin,Businessvan 6 pax,6,"€82,00",EUR,,,,,,
China,Hong Kong Airport (HKG),Wong Tai Sin,Standard class car,3,"€66,00",EUR,,,,,,
China,Hong Kong Airport (HKG),Wong Tai Sin,Standard minivan 6 pax,6,"€70,00",EUR,,,,,,
China,Hong Kong Airport (HKG),Yuen Long,Business class car,3,"€96,00",EUR,,,,,,
China,Hong Kong Airport (HKG),Yuen Long,Businessvan 6 pax,6,"€130,00",EUR,,,,,,
China,Hong Kong Airport (HKG),Yuen Long,Standard class car,3,"€91,00",EUR,,,,,,
China,Hong Kong Airport (HKG),Yuen Long,Standard minivan 6 pax,6,"€114,00",EUR,,,,,,
China,Shanghai Hongqiao International Airport (SHA),Shanghai city center,Business class car,3,"€60,00",EUR,,,,,,
China,Shanghai Hongqiao International Airport (SHA),Shanghai city center,Businessvan 6 pax,6,"€98,00",EUR,,,,,,
China,Shanghai Hongqiao International Airport (SHA),Shanghai city center,Standard class car,3,"€38,00",EUR,,,,,,
China,Shanghai Hongqiao International Airport (SHA),Shanghai city center,Standard minivan 6 pax,6,"€45,00",EUR,,,,,,
China,Shanghai Pudong International Airport (PVG),Shanghai city center,Business class car,3,"€93,00",EUR,,,,,,
China,Shanghai Pudong International Airport (PVG),Shanghai city center,Businessvan 6 pax,6,"€117,00",EUR,,,,,,
China,Shanghai Pudong International Airport (PVG),Shanghai city center,First class car,3,"€209,00",EUR,,,,,,
China,Shanghai Pudong International Airport (PVG),Shanghai city center,Standard class car,3,"€49,00",EUR,,,,,,
China,Shanghai Pudong International Airport (PVG),Shanghai city center,Standard Minibus 16pax,16,"€144,00",EUR,,,,,,
China,Shanghai Pudong International Airport (PVG),Shanghai city center,Standard minivan 6 pax,6,"€64,00",EUR,,,,,,
China,Shenzhen Bao'an International Airport (SZX),Shenzhen city center,Business class car,3,"€55,00",EUR,,,,,,
China,Shenzhen Bao'an International Airport (SZX),Shenzhen city center,Businessvan 6 pax,6,"€80,00",EUR,,,,,,
China,Shenzhen Bao'an International Airport (SZX),Shenzhen city center,Standard class car,3,"€45,00",EUR,,,,,,
China,Shenzhen Bao'an International Airport (SZX),Shenzhen city center,Standard minivan 6 pax,6,"€69,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Larnaca,Standard class car,3,"€33,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Orchid,Standard class car,3,"€72,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Avgorou,Standard class car,3,"€84,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Xylofagou,Standard class car,3,"€78,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Liopetri,Standard class car,3,"€84,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Sotira,Standard class car,3,"€90,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Derynia,Standard class car,3,"€102,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Mazotos,Standard class car,3,"€48,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Tersefanou,Standard class car,3,"€42,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Zigi,Standard class car,3,"€78,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Ayia Napa,Standard class car,3,"€84,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Paralimni,Standard class car,3,"€96,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Protaras,Standard class car,3,"€96,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Limassol,Standard class car,3,"€96,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Pissouri,Standard class car,3,"€144,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Agros,Standard class car,3,"€174,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Ipsonas,Standard class car,3,"€108,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Zakaki,Standard class car,3,"€108,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Omonia,Standard class car,3,"€108,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Polemidia,Standard class car,3,"€108,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),City of Dream,Standard class car,3,"€108,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Trachoni,Standard class car,3,"€108,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Asomatos,Standard class car,3,"€108,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Erimi,Standard class car,3,"€108,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Episkopi,Standard class car,3,"€108,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Akrotiri,Standard class car,3,"€108,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Kalo Chorio Limassol,Standard class car,3,"€162,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Paramali,Standard class car,3,"€144,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Avdimou,Standard class car,3,"€144,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Anogyra,Standard class car,3,"€168,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Palodia,Standard class car,3,"€132,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Fasoula,Standard class car,3,"€132,00",EUR,,,,,,
Cyprus,Larnaca Airport (LCA),Paramytha,Standard class car,3,"€144,00",EUR,,,,,,
