"From";"To";"Price";"Lux";"MV 8 pax";"Sprinter";"SUV";"Electric Standard";"Saloon";"Estate";"Executive";"MPV";"MV 6 pax";"MV 7 pax";"Businessvan 5 pax";"Businessvan 6 pax";"Standard Minibus 13pax";"Standard Minibus 9pax";"Minibus 19 pax";"Coach 30 pax";"Coach 45pax"
"Oslo Gardermoen Airport (OSL)";"Hønefoss";"150";"0";"0";"0";"0";"0";"150";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Kolbotn";"132";"0";"0";"0";"0";"0";"132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Kongsberg";"345";"0";"0";"0";"0";"0";"345";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Kongsvinger";"153";"0";"0";"0";"0";"0";"153";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Kristiansand";"1050";"0";"0";"0";"0";"0";"1050";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Kvitfjell stasjon, Kvitfjellvegen, Ringebu";"540";"0";"0";"0";"0";"0";"540";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Langhus";"148";"0";"0";"0";"0";"0";"148";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Larvik";"502";"0";"0";"0";"0";"0";"502";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Lillehammer";"394";"0";"0";"0";"0";"0";"394";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Lillestrøm";"95";"0";"0";"0";"0";"0";"95";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Lørenskog";"95";"0";"0";"0";"0";"0";"95";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Lysaker, IT Fornebu, Snaroya (Oslo)";"139";"0";"0";"0";"0";"0";"139";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Nesoddtangen";"230";"0";"0";"0";"0";"0";"230";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Nesøya / Nesbru";"159";"0";"0";"0";"0";"0";"159";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Nittedal";"116";"0";"0";"0";"0";"0";"116";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Norefjell";"385";"0";"0";"0";"0";"0";"385";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Oppegård";"150";"0";"0";"0";"0";"0";"150";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Oslo";"135";"0";"0";"300";"0";"0";"135";"0";"190";"0";"190";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Oslo Winter Park";"132";"0";"0";"0";"0";"0";"132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Rygge";"286";"0";"0";"0";"0";"0";"286";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Sandvika";"143";"0";"0";"0";"0";"0";"143";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Siggerud";"152";"0";"0";"0";"0";"0";"152";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Ski, Norway";"178";"0";"0";"0";"0";"0";"178";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Skjetten";"95";"0";"0";"0";"0";"0";"95";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Sofiemyr";"138";"0";"0";"0";"0";"0";"138";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Son";"245";"0";"0";"0";"0";"0";"245";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Stavanger";"1430";"0";"0";"0";"0";"0";"1430";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Stockholm city center";"1516";"0";"0";"0";"0";"0";"1516";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Strømmen";"95";"0";"0";"0";"0";"0";"95";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Torp Sandefjord Airport (TRF)";"455";"0";"0";"0";"0";"0";"455";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Trysil";"450";"0";"0";"0";"0";"0";"450";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Oslo Gardermoen Airport (OSL)";"Vestby";"211";"0";"0";"0";"0";"0";"211";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Torp Sandefjord Airport (TRF)";"Oslo";"455";"0";"0";"0";"0";"0";"455";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Torp Sandefjord Airport (TRF)";"Oslo Gardermoen Airport (OSL)";"455";"0";"0";"0";"0";"0";"455";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Islamabad International Airport (ISB)";"Islamabad";"130";"0";"0";"822";"0";"0";"130";"0";"0";"0";"0";"205";"0";"282";"0";"353";"0";"0";"0"
"Lahore Allama Iqbal International Airport (LHE)";"Lahore";"145";"1035";"0";"493";"0";"0";"145";"0";"665";"0";"269";"0";"0";"665";"0";"304";"0";"0";"0"
"Lisbon Airport (LIS)";"Lisbon";"20";"0";"0";"0";"0";"0";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Porto Francisco Sá Carneiro Airport Airport (OPO)";"Porto";"18";"0";"0";"85";"0";"0";"18";"0";"35";"0";"0";"57";"0";"0";"0";"0";"0";"0";"0"
"Anapa Vityazevo Airport (AAQ)";"Anapa";"30";"0";"0";"0";"0";"0";"30";"0";"0";"0";"0";"0";"0";"151";"0";"0";"0";"0";"0"
"Arkhangelsk International Airport (ARH)";"Arkhangelsk";"30";"0";"0";"93";"0";"0";"30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Astrakhan' Narimanovo Airport (ASF)";"Astrakhan'";"52";"193";"0";"0";"0";"0";"52";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Baikal International Airport (UUD)";"Ulan-Ude";"46";"0";"0";"0";"0";"0";"46";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Barnaul Airport (BAX)";"Barnaul";"39";"0";"0";"0";"0";"0";"39";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Begishevo Airport (NBC)";"Naberezhnye Chelny";"39";"0";"0";"0";"0";"0";"52";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Belgorod Airport (EGO)";"Belgorod";"25";"0";"0";"0";"0";"0";"25";"0";"76";"0";"0";"51";"0";"0";"0";"0";"0";"0";"0"
"Chelyabinsk Airport (CEK)";"Chelyabinsk";"39";"143";"0";"135";"0";"0";"39";"0";"68";"0";"0";"67";"0";"0";"0";"0";"0";"0";"0"
"Cherepovets Airport (CEE)";"Cherepovets";"31";"0";"0";"0";"0";"0";"31";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Chita-Kadala International Airport (HTA)";"Chita";"42";"0";"0";"126";"0";"0";"42";"0";"76";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Elabuga Begishevo Airport (NBC)";"Elabuga";"49";"327";"0";"160";"0";"0";"49";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Elabuga Begishevo Airport (NBC)";"Naberezhnye Chelny";"32";"327";"0";"151";"0";"0";"64";"0";"84";"0";"0";"84";"0";"252";"0";"0";"0";"0";"0"
"Elabuga Begishevo Airport (NBC)";"Nizhnekamsk";"51";"193";"0";"143";"0";"0";"51";"0";"79";"0";"0";"59";"0";"0";"0";"0";"0";"0";"0"
