"From";"To";"Price";"Lux";"MV 8 pax";"Sprinter";"SUV";"Electric Standard";"Saloon";"Estate";"Executive";"MPV";"MV 6 pax";"MV 7 pax";"Businessvan 5 pax";"Businessvan 6 pax";"Standard Minibus 13pax";"Standard Minibus 9pax";"Minibus 19 pax";"Coach 30 pax";"Coach 45pax"
"Rostov-on-Don Platov Airport (ROV)";"Rostov-on-Don";"51";"0";"0";"151";"0";"0";"76";"0";"0";"0";"0";"0";"0";"192";"0";"0";"0";"0";"0"
"Rostov-on-Don Platov Airport (ROV)";"Taganrog";"113";"0";"0";"0";"0";"0";"113";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Saint-Petersburg Pulkovo Airport (LED)";"Gatchina";"51";"168";"0";"151";"0";"0";"51";"0";"93";"0";"0";"0";"0";"151";"0";"0";"0";"352";"386"
"Saint-Petersburg Pulkovo Airport (LED)";"Kokkorevo";"84";"197";"0";"0";"0";"0";"84";"0";"135";"0";"0";"135";"0";"0";"0";"0";"0";"0";"0"
"Saint-Petersburg Pulkovo Airport (LED)";"Krasnoe Selo";"76";"168";"0";"151";"0";"0";"76";"0";"84";"0";"0";"59";"0";"135";"0";"0";"0";"352";"386"
"Saint-Petersburg Pulkovo Airport (LED)";"Kronstadt";"51";"168";"0";"176";"0";"0";"51";"0";"84";"0";"0";"78";"0";"135";"0";"0";"0";"352";"386"
"Saint-Petersburg Pulkovo Airport (LED)";"Pargolovo";"51";"168";"0";"176";"0";"0";"51";"0";"76";"0";"0";"93";"0";"0";"0";"0";"0";"352";"386"
"Saint-Petersburg Pulkovo Airport (LED)";"Pushkin";"76";"143";"0";"176";"0";"0";"76";"0";"0";"0";"0";"59";"0";"135";"0";"0";"0";"352";"386"
"Saint-Petersburg Pulkovo Airport (LED)";"Saint Petersburg";"40";"141";"63";"125";"0";"0";"40";"0";"79";"0";"0";"0";"0";"112";"0";"0";"0";"0";"0"
"Saint-Petersburg Pulkovo Airport (LED)";"Vsevolozhsk";"59";"168";"0";"176";"0";"0";"59";"0";"76";"0";"0";"93";"0";"0";"0";"0";"0";"353";"386"
"Saint-Petersburg Pulkovo Airport (LED)";"Vyborg";"269";"0";"0";"0";"0";"0";"269";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Samara Kurumoch International Airport (KUF)";"Kazan";"269";"0";"0";"0";"0";"0";"269";"0";"0";"0";"0";"503";"0";"0";"0";"0";"0";"0";"0"
"Samara Kurumoch International Airport (KUF)";"Samara";"59";"202";"0";"151";"0";"0";"59";"0";"88";"0";"0";"93";"0";"151";"0";"0";"0";"0";"0"
"Samara Kurumoch International Airport (KUF)";"Tolyatti";"49";"218";"0";"168";"0";"0";"67";"0";"109";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Saransk Airport (SKX)";"Saransk";"30";"160";"0";"118";"0";"0";"30";"0";"59";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Saratov Tsentralny Airport (RTW)";"Saratov";"42";"160";"0";"161";"0";"0";"42";"0";"93";"0";"0";"59";"0";"109";"0";"0";"0";"0";"0"
"Simferopol' Airport (SIP)";"Sevastopol'";"46";"356";"0";"252";"0";"0";"46";"0";"252";"0";"0";"66";"0";"0";"0";"0";"0";"0";"0"
"Simferopol' Airport (SIP)";"Simferopol'";"29";"143";"0";"126";"0";"0";"29";"0";"93";"0";"0";"51";"0";"126";"0";"0";"0";"0";"0"
"Stavropol' Shpakovskoye Airport (STW)";"Stavropol'";"29";"178";"0";"126";"0";"0";"29";"0";"91";"0";"0";"52";"0";"168";"0";"0";"0";"0";"0"
"Surgut International Airport (SGC)";"Surgut";"31";"218";"0";"201";"0";"0";"46";"0";"82";"0";"0";"96";"0";"185";"0";"0";"0";"0";"0"
"Tomsk Bogashevo Airport (TOF)";"Tomsk";"32";"151";"0";"143";"0";"0";"32";"0";"0";"0";"0";"0";"0";"151";"0";"0";"0";"0";"0"
"Tyumen Roshchino International Airport (TJM)";"Tyumen";"31";"202";"0";"118";"0";"0";"31";"0";"75";"0";"0";"0";"0";"126";"0";"0";"0";"0";"0"
"Ufa International Airport (UFA)";"Ufa";"31";"0";"0";"82";"0";"0";"31";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ulyanovsk Baratayevka Airport (ULV)";"Ulyanovsk";"29";"0";"0";"0";"0";"0";"29";"0";"101";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ulyanovsk Vostochny Airport (ULY)";"Ulyanovsk";"47";"165";"0";"126";"0";"0";"47";"0";"104";"0";"0";"66";"0";"0";"0";"0";"0";"0";"0"
"Vladivostok International Airport (VVO)";"Vladivostok";"0";"0";"0";"218";"0";"0";"0";"0";"0";"0";"0";"0";"0";"218";"0";"0";"0";"0";"0"
"Volgograd International Airport (VOG)";"Volgograd";"59";"126";"0";"126";"0";"0";"59";"0";"66";"0";"0";"0";"0";"126";"0";"0";"0";"0";"0"
"Vologda Airport (VGD)";"Vologda";"30";"193";"0";"151";"0";"0";"51";"0";"84";"0";"0";"51";"0";"0";"0";"0";"0";"0";"0"
"Voronezh-Chertovitskoye Airport (VOZ)";"Voronezh";"31";"202";"0";"143";"0";"0";"31";"0";"61";"0";"0";"67";"0";"165";"0";"0";"0";"0";"0"
"Yaroslavl Tunoshna Airport (IAR)";"Yaroslavl";"34";"165";"0";"178";"0";"0";"34";"0";"66";"0";"0";"77";"0";"165";"0";"0";"0";"0";"0"
"Yekaterinburg Koltsovo Airport (SVX)";"Yekaterinburg";"0";"0";"0";"126";"0";"0";"0";"0";"59";"0";"0";"0";"0";"160";"0";"0";"0";"0";"0"
"Yoshkar-Ola Airport (JOK)";"Yoshkar-Ola";"32";"0";"0";"151";"0";"0";"32";"0";"101";"0";"0";"76";"0";"0";"0";"0";"0";"0";"0"
"Yuzhno-Sakhalinsk Airport (UUS)";"Yuzhno-Sakhalinsk";"30";"0";"0";"126";"0";"0";"30";"0";"72";"0";"0";"59";"0";"0";"0";"0";"0";"0";"0"
"Singapore Changi Airport (SIN)";"Singapore city center";"45";"0";"70";"0";"0";"0";"45";"0";"0";"0";"0";"0";"65";"0";"0";"0";"0";"0";"0"
"Singapore Changi Airport (SIN)";"Singapore Cruise Terminal";"45";"0";"70";"0";"0";"0";"45";"0";"0";"0";"0";"0";"65";"0";"0";"0";"0";"0";"0"
"Singapore Changi Airport (SIN)";"Singapore East";"45";"0";"70";"0";"0";"0";"45";"0";"0";"0";"0";"0";"65";"0";"0";"0";"0";"0";"0"
"Singapore Changi Airport (SIN)";"Singapore North";"45";"0";"70";"0";"0";"0";"45";"0";"0";"0";"0";"0";"65";"0";"0";"0";"0";"0";"0"
"Singapore Changi Airport (SIN)";"Singapore Sentosa Island";"45";"0";"70";"0";"0";"0";"45";"0";"0";"0";"0";"0";"65";"0";"0";"0";"0";"0";"0"
"Singapore Changi Airport (SIN)";"Singapore West";"45";"0";"70";"0";"0";"0";"45";"0";"0";"0";"0";"0";"65";"0";"0";"0";"0";"0";"0"
"Cape Town International Airport (CPT)";"Cape Town";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Busan Gimhae Airport (PUS)";"Busan";"79";"0";"0";"0";"0";"0";"79";"0";"0";"0";"0";"102";"0";"0";"0";"237";"0";"0";"0"
"Busan Gimhae Airport (PUS)";"Daegu";"405";"0";"0";"0";"0";"0";"405";"0";"0";"0";"0";"480";"0";"0";"0";"690";"0";"0";"0"
"Busan Gimhae Airport (PUS)";"Geoje Island";"338";"0";"0";"0";"0";"0";"338";"0";"0";"0";"0";"403";"0";"0";"0";"426";"0";"0";"0"
"Busan Gimhae Airport (PUS)";"Gijang-gun";"96";"0";"0";"0";"0";"0";"96";"0";"0";"0";"0";"113";"0";"0";"0";"0";"0";"0";"0"
"Busan Gimhae Airport (PUS)";"Gyeongju";"297";"0";"0";"0";"0";"0";"297";"0";"0";"0";"0";"378";"0";"0";"0";"585";"0";"0";"0"
"Busan Gimhae Airport (PUS)";"Jeonju";"426";"0";"0";"0";"0";"0";"426";"0";"0";"0";"0";"511";"0";"0";"0";"689";"0";"0";"0"
"Jeju Airport (CJU)";"Jeju city center";"65";"0";"0";"0";"0";"0";"65";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Jeju Airport (CJU)";"Jeju outskirts";"80";"0";"0";"0";"0";"0";"80";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Jeju Airport (CJU)";"Seogwipo City Center";"120";"0";"0";"0";"0";"0";"120";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Seoul Gimpo Airport (GMP)";"Ansan";"130";"0";"0";"0";"0";"0";"130";"0";"230";"0";"155";"0";"210";"0";"0";"250";"0";"0";"0"
"Seoul Gimpo Airport (GMP)";"Dongducheon";"195";"0";"0";"0";"0";"0";"195";"0";"285";"0";"216";"0";"260";"0";"0";"325";"0";"0";"0"
"Seoul Gimpo Airport (GMP)";"Gimpo";"130";"0";"0";"0";"0";"0";"130";"0";"230";"0";"155";"0";"210";"0";"0";"250";"0";"0";"0"
"Seoul Gimpo Airport (GMP)";"Goyang";"130";"0";"0";"0";"0";"0";"130";"0";"230";"0";"155";"0";"210";"0";"0";"250";"0";"0";"0"
"Seoul Gimpo Airport (GMP)";"Gunpo";"130";"0";"0";"0";"0";"0";"130";"0";"230";"0";"155";"0";"210";"0";"0";"250";"0";"0";"0"
"Seoul Gimpo Airport (GMP)";"Guri";"162";"0";"0";"0";"0";"0";"162";"0";"250";"0";"185";"0";"230";"0";"0";"290";"0";"0";"0"
"Seoul Gimpo Airport (GMP)";"Gwacheon";"162";"0";"0";"0";"0";"0";"162";"0";"250";"0";"185";"0";"230";"0";"0";"290";"0";"0";"0"
"Seoul Gimpo Airport (GMP)";"Gwangmyeong";"130";"0";"0";"0";"0";"0";"130";"0";"230";"0";"155";"0";"210";"0";"0";"250";"0";"0";"0"
"Seoul Gimpo Airport (GMP)";"Hanam";"162";"0";"0";"0";"0";"0";"162";"0";"250";"0";"185";"0";"230";"0";"0";"290";"0";"0";"0"
"Seoul Gimpo Airport (GMP)";"Incheon";"130";"0";"0";"0";"0";"0";"130";"0";"230";"0";"155";"0";"210";"0";"0";"250";"0";"0";"0"
"Seoul Gimpo Airport (GMP)";"Namyangju";"195";"0";"0";"0";"0";"0";"195";"0";"285";"0";"216";"0";"260";"0";"0";"325";"0";"0";"0"
"Seoul Gimpo Airport (GMP)";"Osan";"230";"0";"0";"0";"0";"0";"230";"0";"320";"0";"257";"0";"285";"0";"0";"360";"0";"0";"0"
"Seoul Gimpo Airport (GMP)";"Paju";"195";"0";"0";"0";"0";"0";"195";"0";"285";"0";"216";"0";"260";"0";"0";"325";"0";"0";"0"
"Seoul Gimpo Airport (GMP)";"Pyungtaek";"230";"0";"0";"0";"0";"0";"230";"0";"320";"0";"257";"0";"285";"0";"0";"360";"0";"0";"0"
"Seoul Gimpo Airport (GMP)";"Seoul city";"0";"0";"0";"0";"0";"0";"0";"0";"185";"0";"108";"0";"170";"0";"0";"195";"0";"0";"0"
"Seoul Gimpo Airport (GMP)";"Seoul Incheon Airport (ICN)";"110";"0";"0";"0";"0";"0";"110";"0";"243";"0";"130";"0";"230";"0";"0";"270";"0";"0";"0"
"Seoul Gimpo Airport (GMP)";"Siheung";"130";"0";"0";"0";"0";"0";"130";"0";"230";"0";"155";"0";"210";"0";"0";"250";"0";"0";"0"
"Seoul Gimpo Airport (GMP)";"Suwon";"162";"0";"0";"0";"0";"0";"162";"0";"250";"0";"185";"0";"230";"0";"0";"290";"0";"0";"0"
"Seoul Gimpo Airport (GMP)";"Uijeongbu";"162";"0";"0";"0";"0";"0";"162";"0";"250";"0";"185";"0";"230";"0";"0";"290";"0";"0";"0"
"Seoul Gimpo Airport (GMP)";"Yangju";"195";"0";"0";"0";"0";"0";"195";"0";"285";"0";"216";"0";"260";"0";"0";"325";"0";"0";"0"
"Seoul Incheon Airport (ICN)";"Ansan";"143";"0";"0";"0";"0";"0";"143";"0";"245";"0";"170";"0";"230";"0";"0";"265";"0";"0";"0"
"Seoul Incheon Airport (ICN)";"Dongducheon";"197";"0";"0";"0";"0";"0";"197";"0";"305";"0";"230";"0";"270";"0";"0";"338";"0";"0";"0"
"Seoul Incheon Airport (ICN)";"Gimpo";"143";"0";"0";"0";"0";"0";"143";"0";"245";"0";"170";"0";"230";"0";"0";"265";"0";"0";"0"
"Seoul Incheon Airport (ICN)";"Goyang";"143";"0";"0";"0";"0";"0";"143";"0";"245";"0";"170";"0";"230";"0";"0";"265";"0";"0";"0"
"Seoul Incheon Airport (ICN)";"Gunpo";"143";"0";"0";"0";"0";"0";"143";"0";"245";"0";"170";"0";"230";"0";"0";"0";"0";"0";"0"
"Seoul Incheon Airport (ICN)";"Guri";"176";"0";"0";"0";"0";"0";"176";"0";"270";"0";"197";"0";"250";"0";"0";"312";"0";"0";"0"
"Seoul Incheon Airport (ICN)";"Gwacheon";"176";"0";"0";"0";"0";"0";"176";"0";"270";"0";"197";"0";"250";"0";"0";"312";"0";"0";"0"
"Seoul Incheon Airport (ICN)";"Gwangmyeong";"143";"0";"0";"0";"0";"0";"143";"0";"245";"0";"170";"0";"230";"0";"0";"270";"0";"0";"0"
"Seoul Incheon Airport (ICN)";"Hanam";"176";"0";"0";"0";"0";"0";"176";"0";"250";"0";"197";"0";"270";"0";"0";"312";"0";"0";"0"
"Seoul Incheon Airport (ICN)";"Incheon";"143";"0";"0";"0";"0";"0";"143";"0";"245";"0";"170";"0";"230";"0";"0";"265";"0";"0";"0"
"Seoul Incheon Airport (ICN)";"Namyangju";"197";"0";"0";"0";"0";"0";"197";"0";"305";"0";"230";"0";"270";"0";"0";"338";"0";"0";"0"
"Seoul Incheon Airport (ICN)";"Osan";"230";"0";"0";"0";"0";"0";"230";"0";"340";"0";"270";"0";"305";"0";"0";"372";"0";"0";"0"
"Seoul Incheon Airport (ICN)";"Paju";"197";"0";"0";"0";"0";"0";"197";"0";"305";"0";"270";"0";"0";"230";"0";"338";"0";"0";"0"
"Seoul Incheon Airport (ICN)";"Pyungtaek";"230";"0";"0";"0";"0";"0";"230";"0";"340";"0";"270";"0";"305";"0";"0";"372";"0";"0";"0"
"Seoul Incheon Airport (ICN)";"Seoul city";"108";"0";"0";"0";"0";"0";"108";"0";"198";"0";"122";"0";"0";"195";"0";"205";"0";"0";"0"
"Seoul Incheon Airport (ICN)";"Seoul Gimpo Airport (GMP)";"110";"0";"0";"0";"0";"0";"110";"0";"243";"0";"130";"0";"230";"0";"0";"270";"0";"0";"0"
"Seoul Incheon Airport (ICN)";"Siheung";"121";"0";"0";"0";"0";"0";"121";"0";"245";"0";"150";"0";"230";"0";"0";"265";"0";"0";"0"
"Seoul Incheon Airport (ICN)";"Suwon";"176";"0";"0";"0";"0";"0";"176";"0";"270";"0";"197";"0";"250";"0";"0";"312";"0";"0";"0"
"Seoul Incheon Airport (ICN)";"Uijeongbu";"176";"0";"0";"0";"0";"0";"176";"0";"270";"0";"197";"0";"250";"0";"0";"312";"0";"0";"0"
"Seoul Incheon Airport (ICN)";"Yangju";"197";"0";"0";"0";"0";"0";"197";"0";"305";"0";"230";"0";"270";"0";"0";"340";"0";"0";"0"
"Adolfo Suárez Madrid–Barajas Airport (MAD)";"Madrid";"54";"185";"0";"220";"0";"0";"54";"0";"68";"0";"83";"0";"0";"0";"0";"0";"0";"0";"0"
"Alicante Elche Airport (ALC)";"Alicante";"40";"0";"0";"120";"0";"0";"40";"0";"60";"0";"60";"0";"0";"120";"0";"0";"0";"0";"0"
"Barcelona El Prat Airport (BCN)";"Barcelona";"64";"170";"0";"0";"0";"0";"64";"0";"99";"0";"90";"0";"0";"0";"0";"0";"0";"0";"0"
"Barcelona El Prat Airport (BCN)";"Blanes";"105";"0";"0";"0";"0";"0";"105";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Barcelona El Prat Airport (BCN)";"Calella";"80";"0";"0";"375";"0";"0";"80";"0";"0";"100";"120";"0";"0";"0";"314";"0";"0";"0";"0"
"Barcelona El Prat Airport (BCN)";"Port of Barcelona";"40";"0";"0";"0";"0";"0";"40";"0";"0";"55";"70";"0";"0";"0";"0";"0";"0";"0";"0"
"Bilbao Airport (BIO)";"Bilbao";"51";"0";"0";"195";"0";"0";"51";"0";"75";"0";"0";"0";"0";"95";"0";"0";"0";"0";"0"
"Cesar Manrique-Lanzarote Airport (ACE)";"Arrecife";"25";"0";"0";"0";"0";"0";"25";"0";"0";"0";"35";"0";"0";"0";"0";"0";"0";"0";"0"
"Girona–Costa Brava Airport (GRO)";"Barcelona El Prat Airport (BCN)";"0";"0";"0";"426";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"402";"0";"0";"0";"0"
"Gran Canaria Airport (LPA)";"Las Palmas de Gran Canaria";"50";"0";"0";"120";"0";"0";"50";"0";"80";"0";"80";"0";"0";"0";"0";"0";"0";"0";"0"
"Ibiza Airport (IBZ)";"Ibiza";"48";"0";"0";"180";"0";"0";"48";"0";"140";"0";"70";"0";"0";"160";"0";"0";"0";"0";"0"
"Malaga Airport (AGP)";"Malaga";"36";"80";"0";"95";"0";"0";"36";"0";"52";"0";"46";"0";"0";"75";"0";"0";"0";"0";"0"
"Palma de Mallorca Airport (PMI)";"Palma de Mallorca";"45";"0";"0";"155";"0";"0";"45";"0";"0";"0";"66";"0";"0";"0";"0";"0";"0";"0";"0"
"Seville Airport (SVQ)";"Seville";"45";"0";"0";"190";"0";"0";"45";"0";"65";"0";"87";"0";"0";"115";"0";"0";"0";"0";"0"
"Tenerife North Airport (TFN)";"Costa Adeje";"130";"0";"0";"265";"0";"0";"130";"0";"0";"0";"156";"0";"0";"0";"0";"0";"0";"0";"0"
"Tenerife South Airport (TFS)";"Costa Adeje";"39";"0";"0";"110";"0";"0";"39";"0";"0";"0";"52";"0";"0";"0";"0";"0";"0";"0";"0"
"Valencia Airport (VLC)";"Valencia";"48";"0";"0";"150";"0";"0";"48";"0";"75";"0";"80";"0";"0";"105";"0";"0";"0";"0";"0"
"Colombo Bandaranaike Airport (CMB)";"Colombo";"30";"0";"0";"0";"0";"0";"30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Colombo Bandaranaike Airport (CMB)";"Kandy";"70";"0";"0";"0";"0";"0";"70";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hikkaduwa";"Colombo";"93";"0";"0";"0";"0";"0";"93";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hikkaduwa";"Kandy";"173";"0";"0";"0";"0";"0";"173";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ängelholm Airport (AGH)";"Ängelholm / Angelholm";"55";"0";"0";"0";"0";"0";"55";"0";"0";"0";"0";"75";"0";"0";"0";"0";"0";"0";"0"
"Ängelholm Airport (AGH)";"Helsingborg";"90";"0";"0";"0";"0";"0";"90";"0";"0";"0";"0";"135";"0";"0";"0";"0";"0";"0";"0"
"Gällivare Airport (GEV)";"Gällivare";"80";"0";"0";"0";"0";"0";"80";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gällivare Airport (GEV)";"Jokkmokk";"280";"0";"0";"0";"0";"0";"280";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gothenburg Landvetter Airport (GOT)";"Borås / Boras";"105";"0";"0";"0";"0";"0";"105";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gothenburg Landvetter Airport (GOT)";"Gøteborg / Göteborg / Gothenburg";"80";"0";"0";"0";"0";"0";"80";"0";"0";"0";"0";"135";"0";"0";"0";"0";"0";"0";"0"
"Gothenburg Landvetter Airport (GOT)";"Huskvarna";"245";"0";"0";"0";"0";"0";"245";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gothenburg Landvetter Airport (GOT)";"Jonköping / Jonkoping";"240";"0";"0";"0";"0";"0";"240";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gothenburg Landvetter Airport (GOT)";"Kungälv / Kungalv";"105";"0";"0";"0";"0";"0";"105";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gothenburg Landvetter Airport (GOT)";"Kungsbacka";"120";"0";"0";"0";"0";"0";"120";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gothenburg Landvetter Airport (GOT)";"Marstrand";"210";"0";"0";"0";"0";"0";"210";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gothenburg Landvetter Airport (GOT)";"Trollhättan";"230";"0";"0";"0";"0";"0";"230";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kalmar Airport (KLR)";"Borgholm";"155";"0";"0";"0";"0";"0";"155";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kalmar Airport (KLR)";"Kalmar";"55";"0";"0";"0";"0";"0";"55";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kiruna Airport (KRN)";"Abisko";"275";"0";"0";"0";"0";"0";"275";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kiruna Airport (KRN)";"Gällivare";"347";"0";"0";"0";"0";"0";"347";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kiruna Airport (KRN)";"Jukkasjärvi";"80";"0";"0";"0";"0";"0";"80";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kiruna Airport (KRN)";"Kiruna";"65";"0";"0";"0";"0";"0";"65";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Linköping Airport (LPI)";"Linköping";"45";"0";"0";"0";"0";"0";"45";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Luleå Airport (LLA)";"Arjeplog";"439";"0";"0";"0";"0";"0";"439";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Luleå Airport (LLA)";"Boden";"95";"0";"0";"0";"0";"0";"95";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Luleå Airport (LLA)";"Boliden";"395";"0";"0";"0";"0";"0";"395";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Luleå Airport (LLA)";"Gällivare";"439";"0";"0";"0";"0";"0";"439";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Luleå Airport (LLA)";"Harads";"205";"0";"0";"0";"0";"0";"205";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Luleå Airport (LLA)";"Jokkmokk";"395";"0";"0";"0";"0";"0";"395";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Luleå Airport (LLA)";"Kiruna";"605";"0";"0";"0";"0";"0";"605";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Luleå Airport (LLA)";"Luleå";"55";"0";"0";"0";"0";"0";"55";"0";"0";"0";"0";"90";"0";"0";"0";"0";"0";"0";"0"
"Luleå Airport (LLA)";"Piteå / Pitea";"140";"0";"0";"0";"0";"0";"140";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Luleå Airport (LLA)";"Rovaniemi City";"480";"0";"0";"0";"0";"0";"480";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Luleå Airport (LLA)";"Skellefteå";"297";"0";"0";"0";"0";"0";"297";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Luleå Airport (LLA)";"Umeå";"539";"0";"0";"0";"0";"0";"539";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Malmö Sturup Airport (MMX)";"Copenhagen";"210";"0";"0";"0";"0";"0";"210";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Malmö Sturup Airport (MMX)";"Copenhagen Kastrup Airport (CPH)";"190";"0";"0";"0";"0";"0";"190";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Malmö Sturup Airport (MMX)";"Gøteborg / Göteborg / Gothenburg";"760";"0";"0";"0";"0";"0";"760";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Malmö Sturup Airport (MMX)";"Helsingborg";"205";"0";"0";"0";"0";"0";"205";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Malmö Sturup Airport (MMX)";"Landskrona";"160";"0";"0";"0";"0";"0";"160";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Malmö Sturup Airport (MMX)";"Lund";"80";"0";"0";"0";"0";"0";"80";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Malmö Sturup Airport (MMX)";"Malmö / Malmo";"80";"0";"0";"0";"0";"0";"80";"0";"0";"0";"0";"143";"0";"0";"0";"0";"0";"0";"0"
"Malmö Sturup Airport (MMX)";"Trelleborg";"80";"0";"0";"0";"0";"0";"80";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Malmö Sturup Airport (MMX)";"Ystad";"80";"0";"0";"0";"0";"0";"80";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Örebro airport (ORB)";"Örebro / Orebro";"75";"0";"0";"0";"0";"0";"75";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Örnsköldsvik Airport (OER)";"Örnsköldsvik / Ornskoldsvik";"85";"0";"0";"0";"0";"0";"85";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Östersund Åre Airport (OSD)";"Åre / Are";"205";"0";"0";"0";"0";"0";"205";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Östersund Åre Airport (OSD)";"Östersund";"70";"0";"0";"0";"0";"0";"70";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Port of Stockholm (Frihamnen)";"Stockholm city center";"70";"0";"0";"0";"0";"0";"70";"0";"0";"0";"0";"120";"0";"0";"0";"0";"0";"0";"0"
"Port of Stockholm (Nynäshamn)";"Stockholm Arlanda Airport (ARN)";"120";"0";"0";"0";"0";"0";"120";"0";"0";"0";"0";"150";"0";"0";"0";"0";"0";"0";"0"
"Port of Stockholm (Nynäshamn)";"Stockholm city center";"120";"0";"0";"0";"0";"0";"120";"0";"0";"0";"0";"150";"0";"0";"0";"0";"0";"0";"0"
"Port of Stockholm (Stadsgården)";"Stockholm city center";"70";"0";"0";"0";"0";"0";"70";"0";"0";"0";"0";"120";"0";"0";"0";"0";"0";"0";"0"
"Port of Stockholm (Värtahamnen)";"Stockholm city center";"70";"0";"0";"0";"0";"0";"70";"0";"0";"0";"0";"120";"0";"0";"0";"0";"0";"0";"0"
"Ronneby Airport (RNB)";"Karlskrona";"75";"0";"0";"0";"0";"0";"75";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ronneby Airport (RNB)";"Kristianstad";"225";"0";"0";"0";"0";"0";"225";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Skellefteå Airport (SFT)";"Skellefteå";"80";"0";"0";"0";"0";"0";"80";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Stockholm Arlanda Airport (ARN)";"Åkersberga locality";"90";"0";"0";"0";"0";"0";"90";"0";"0";"0";"0";"130";"0";"0";"0";"0";"0";"0";"0"
