"name","count","countries","cities","roles","samples","etoStatus","category"
"Yoshkar-Ola Airport (JOK)","4","Russia","Yoshkar-Ola","from","Yoshkar-Ola Airport (JOK) -> Yoshkar-Ola || Yoshkar-Ola Airport (JOK) -> Yoshkar-Ola || Yoshkar-Ola Airport (JOK) -> Yoshkar-Ola","missing","airport"
"Yuzhno-Sakhalinsk Airport (UUS)","4","Russia","Yuzhno-Sakhalinsk","from","Yuzhno-Sakhalinsk Airport (UUS) -> Yuzhno-Sakhalinsk || Yuzhno-Sakhalinsk Airport (UUS) -> Yuzhno-Sakhalinsk || Yuzhno-Sakhalinsk Airport (UUS) -> Yuzhno-Sakhalinsk","missing","airport"
"Aarhus Airport (AAR)","3","Denmark","Aarhus","from","Aarhus Airport (AAR) -> Aarhus outside city center || Aarhus airport (AAR) -> Aarhus || Aarhus airport (AAR) -> Aarhus","missing","airport"
"Almaty International Airport (ALA)","3","Kazakhstan","Almaty","from","Almaty International Airport (ALA) -> Almaty || Almaty International Airport (ALA) -> Almaty || Almaty International Airport (ALA) -> Almaty","missing","airport"
"Antalya cruise port Akdeniz","3","Turkey","Antalya cruise port Akdeniz","to","Antalya Airport (AYT) -> Antalya cruise port Akdeniz || Antalya Airport (AYT) -> Antalya cruise port Akdeniz || Antalya Airport (AYT) -> Antalya cruise port Akdeniz","missing","port"
"Beijing Daxing International Airport (PKX)","3","China","Beijing city center","from","Beijing Daxing International Airport (PKX) -> Beijing city center || Beijing Daxing International Airport (PKX) -> Beijing city center || Beijing Daxing International Airport (PKX) -> Beijing city center","missing","airport"
"Belgorod Airport (EGO)","3","Russia","Belgorod","from","Belgorod Airport (EGO) -> Belgorod || Belgorod Airport (EGO) -> Belgorod || Belgorod Airport (EGO) -> Belgorod","missing","airport"
"Billund Airport (BLL)","3","Denmark","Aarhus","from","Billund Airport (BLL) -> Aarhus city || Billund Airport (BLL) -> Horsens || Billund Airport (BLL) -> Silkeborg","missing","airport"
"Bordeaux–Mérignac Airport (BOD)","3","France","Bordeaux","from","Bordeaux–Mérignac Airport (BOD) -> Bordeaux || Bordeaux–Mérignac Airport (BOD) -> Bordeaux || Bordeaux–Mérignac Airport (BOD) -> Bordeaux","missing","airport"
"Buenos Aires Ministro Pistarini Airport (EZE)","3","Argentina","Buenos Aires","from","Buenos Aires Ministro Pistarini Airport (EZE) -> Buenos Aires || Buenos Aires Ministro Pistarini Airport (EZE) -> Buenos Aires || Buenos Aires Ministro Pistarini Airport (EZE) -> Buenos Aires","missing","airport"
"Chicago O'Hare Airport (ORD)","3","United States of America","Chicago","from","Chicago O'Hare Airport (ORD) -> Chicago || Chicago O'Hare Airport (ORD) -> Chicago || Chicago O'Hare Airport (ORD) -> Chicago","missing","airport"
"Chita-Kadala International Airport (HTA)","3","Russia","Chita","from","Chita-Kadala International Airport (HTA) -> Chita || Chita-Kadala International Airport (HTA) -> Chita || Chita-Kadala International Airport (HTA) -> Chita","missing","airport"
"Cologne Bonn Airport (CGN)","3","Germany","Cologne","from","Cologne Bonn Airport (CGN) -> Cologne || Cologne Bonn Airport (CGN) -> Cologne || Cologne Bonn Airport (CGN) -> Cologne","missing","airport"
"Frankfurt am Main Airport (FRA)","3","Germany","Frankfurt am Main","from","Frankfurt am Main Airport (FRA) -> Frankfurt am Main || Frankfurt am Main Airport (FRA) -> Frankfurt am Main || Frankfurt am Main Airport (FRA) -> Frankfurt am Main","missing","airport"
"Hartsfield–Jackson Atlanta Airport (ATL)","3","United States of America","Atlanta","from","Hartsfield–Jackson Atlanta Airport (ATL) -> Atlanta || Hartsfield–Jackson Atlanta Airport (ATL) -> Atlanta || Hartsfield–Jackson Atlanta Airport (ATL) -> Atlanta","missing","airport"
"Izmir Adnan Menderes Airport (ADB)","3","Turkey","Kusadası","from","Izmir Adnan Menderes Airport (ADB) -> Kusadası || Izmir Adnan Menderes Airport (ADB) -> Kusadası || Izmir Adnan Menderes Airport (ADB) -> Kusadası","missing","airport"
"Jeju Airport (CJU)","3","South Korea","Jeju city center|Jeju outskirts|Seogwipo City Center","from","Jeju Airport (CJU) -> Jeju city center || Jeju Airport (CJU) -> Jeju outskirts || Jeju Airport (CJU) -> Seogwipo City Center","missing","airport"
"Kaunas Airport (KUN)","3","Lithuania","Kaunas","from","Kaunas Airport (KUN) -> Kaunas || Kaunas Airport (KUN) -> Kaunas || Kaunas Airport (KUN) -> Kaunas","missing","airport"
"Khanty-Mansiysk Airport (HMA)","3","Russia","Khanty-Mansiysk","from","Khanty-Mansiysk Airport (HMA) -> Khanty-Mansiysk || Khanty-Mansiysk Airport (HMA) -> Khanty-Mansiysk || Khanty-Mansiysk Airport (HMA) -> Khanty-Mansiysk","missing","airport"
"Kharkiv International Airport (HRK)","3","Ukraine","Kharkiv","from","Kharkiv International Airport (HRK) -> Kharkiv || Kharkiv International Airport (HRK) -> Kharkiv || Kharkiv International Airport (HRK) -> Kharkiv","missing","airport"
"Koh Phangan (Closest Pier to Embark) Thailand","3","Thailand","Koh Phangan (Closest Pier to Embark) Thailand","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Koh Phangan (Closest Pier to Embark) Thailand || Samui International Airport (USM) -> Koh Phangan (Closest Pier to Embark) Thailand || Samui International Airport (USM) -> Koh Phangan (Closest Pier to Embark) Thailand","missing","port"
"Kostroma Airport (KMW)","3","Russia","Kostroma","from","Kostroma Airport (KMW) -> Kostroma || Kostroma Airport (KMW) -> Kostroma || Kostroma Airport (KMW) -> Kostroma","missing","airport"
"Kursk Vostochny Airport (URS)","3","Russia","Kursk","from","Kursk Vostochny Airport (URS) -> Kursk || Kursk Vostochny Airport (URS) -> Kursk || Kursk Vostochny Airport (URS) -> Kursk","missing","airport"
"Lviv Danylo Halytskyi International Airport (LWO)","3","Ukraine","Lviv","from","Lviv Danylo Halytskyi International Airport (LWO) -> Lviv || Lviv Danylo Halytskyi International Airport (LWO) -> Lviv || Lviv Danylo Halytskyi International Airport (LWO) -> Lviv","missing","airport"
"New York Newark Liberty Airport (EWR)","3","United States of America","New York","from","New York Newark Liberty Airport (EWR) -> New York || New York Newark Liberty Airport (EWR) -> New York || New York Newark Liberty Airport (EWR) -> New York","missing","airport"
"Odessa International Airport (ODS)","3","Ukraine","Odessa","from","Odessa International Airport (ODS) -> Odessa || Odessa International Airport (ODS) -> Odessa || Odessa International Airport (ODS) -> Odessa","missing","airport"
"Omsk Tsentralny Airport (OMS)","3","Russia","Omsk","from","Omsk Tsentralny Airport (OMS) -> Omsk || Omsk Tsentralny Airport (OMS) -> Omsk || Omsk Tsentralny Airport (OMS) -> Omsk","missing","airport"
"Orenburg Central Airport (REN)","3","Russia","Orenburg","from","Orenburg Central Airport (REN) -> Orenburg || Orenburg Central Airport (REN) -> Orenburg || Orenburg Central Airport (REN) -> Orenburg","missing","airport"
"Osaka Itami Airport (ITM)","3","Japan","Osaka","from","Osaka Itami Airport (ITM) -> Osaka || Osaka Itami Airport (ITM) -> Osaka || Osaka Itami Airport (ITM) -> Osaka","missing","airport"
"Palma de Mallorca Airport (PMI)","3","Spain","Palma de Mallorca","from","Palma de Mallorca Airport (PMI) -> Palma de Mallorca || Palma de Mallorca Airport (PMI) -> Palma de Mallorca || Palma de Mallorca Airport (PMI) -> Palma de Mallorca","missing","airport"
"Petropavlovsk-Kamchatsky Airport (PKC)","3","Russia","Petropavlovsk-Kamchatsky","from","Petropavlovsk-Kamchatsky Airport (PKC) -> Petropavlovsk-Kamchatsky || Petropavlovsk-Kamchatsky Airport (PKC) -> Petropavlovsk-Kamchatsky || Petropavlovsk-Kamchatsky Airport (PKC) -> Petropavlovsk-Kamchatsky","missing","airport"
"Philadelphia International Airport (PHL)","3","United States of America","Philadelphia City Center, USA (11-25 miles)|Philadelphia City Center, USA (26-30 miles)|Philadelphia City Center, USA (up to 10 miles)","from","Philadelphia International Airport (PHL) -> Philadelphia City Center, USA (11-25 miles) || Philadelphia International Airport (PHL) -> Philadelphia City Center, USA (26-30 miles) || Philadelphia International Airport (PHL) -> Philadelphia City Center, USA (up to 10 miles)","missing","airport"
"Port of Barcelona","3","Spain","Port of Barcelona","to","Barcelona El Prat Airport (BCN) -> Port of Barcelona || Barcelona El Prat Airport (BCN) -> Port of Barcelona || Barcelona El Prat Airport (BCN) -> Port of Barcelona","missing","port"
"Samui Pier Thailand","3","Thailand","Samui Pier Thailand","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Samui Pier Thailand || Samui International Airport (USM) -> Samui Pier Thailand || Samui International Airport (USM) -> Samui Pier Thailand","missing","port"
"Singapore Cruise Terminal","3","Singapore","Singapore Cruise Terminal","to","Singapore Changi Airport (SIN) -> Singapore Cruise Terminal || Singapore Changi Airport (SIN) -> Singapore Cruise Terminal || Singapore Changi Airport (SIN) -> Singapore Cruise Terminal","missing","port"
"Tenerife North Airport (TFN)","3","Spain","Costa Adeje","from","Tenerife North Airport (TFN) -> Costa Adeje || Tenerife North Airport (TFN) -> Costa Adeje || Tenerife North Airport (TFN) -> Costa Adeje","missing","airport"
"Tenerife South Airport (TFS)","3","Spain","Costa Adeje","from","Tenerife South Airport (TFS) -> Costa Adeje || Tenerife South Airport (TFS) -> Costa Adeje || Tenerife South Airport (TFS) -> Costa Adeje","missing","airport"
"Torp Sandefjord Airport (TRF)","3","Norway","Oslo|Oslo Gardermoen Airport (OSL)|Torp Sandefjord Airport (TRF)","from|to","Torp Sandefjord Airport (TRF) -> Oslo || Torp Sandefjord Airport (TRF) -> Oslo Gardermoen Airport (OSL) || Oslo Gardermoen Airport (OSL) -> Torp Sandefjord Airport (TRF)","missing","airport"
"Toulouse–Blagnac Airport (TLS)","3","France","Toulouse","from","Toulouse–Blagnac Airport (TLS) -> Toulouse || Toulouse–Blagnac Airport (TLS) -> Toulouse || Toulouse–Blagnac Airport (TLS) -> Toulouse","missing","airport"
"Umeå Airport (UME)","3","Sweden","Umeå|Örnsköldsvik / Ornskoldsvik","from","Umeå Airport (UME) -> Umeå || Umeå Airport (UME) -> Umeå || Umeå Airport (UME) -> Örnsköldsvik / Ornskoldsvik","missing","airport"
"Yekaterinburg Koltsovo Airport (SVX)","3","Russia","Yekaterinburg","from","Yekaterinburg Koltsovo Airport (SVX) -> Yekaterinburg || Yekaterinburg Koltsovo Airport (SVX) -> Yekaterinburg || Yekaterinburg Koltsovo Airport (SVX) -> Yekaterinburg","missing","airport"
"Anapa Vityazevo Airport (AAQ)","2","Russia","Anapa","from","Anapa Vityazevo Airport (AAQ) -> Anapa || Anapa Vityazevo Airport (AAQ) -> Anapa","missing","airport"
"Arkhangelsk International Airport (ARH)","2","Russia","Arkhangelsk","from","Arkhangelsk International Airport (ARH) -> Arkhangelsk || Arkhangelsk International Airport (ARH) -> Arkhangelsk","missing","airport"
"Ashgabat International Airport (ASB)","2","Turkmenistan","Ashgabat","from","Ashgabat International Airport (ASB) -> Ashgabat || Ashgabat International Airport (ASB) -> Ashgabat","missing","airport"
"Astrakhan' Narimanovo Airport (ASF)","2","Russia","Astrakhan'","from","Astrakhan' Narimanovo Airport (ASF) -> Astrakhan' || Astrakhan' Narimanovo Airport (ASF) -> Astrakhan'","missing","airport"
"Baikal International Airport (UUD)","2","Russia","Ulan-Ude","from","Baikal International Airport (UUD) -> Ulan-Ude || Baikal International Airport (UUD) -> Ulan-Ude","missing","airport"
"Ban Phe Port","2","Thailand","Bangkok","from","Ban Phe Port -> Bangkok || Ban Phe Port -> Bangkok","missing","port"
"Bangkok Hua lumpong Railway Station (Bangkok)","2","Thailand","Bangkok","from","Bangkok Hua lumpong Railway Station (Bangkok) -> Bangkok || Bangkok Hua lumpong Railway Station (Bangkok) -> Bangkok","missing","station"
"Begishevo Airport (NBC)","2","Russia","Naberezhnye Chelny","from","Begishevo Airport (NBC) -> Naberezhnye Chelny || Begishevo Airport (NBC) -> Naberezhnye Chelny","missing","airport"
"Bishkek Manas Airport (FRU)","2","Kirgizstan","Bishkek","from","Bishkek Manas Airport (FRU) -> Bishkek || Bishkek Manas Airport (FRU) -> Bishkek","missing","airport"
"Catania–Fontanarossa Airport (CTA)","2","Italy","Catania","from","Catania–Fontanarossa Airport (CTA) -> Catania || Catania–Fontanarossa Airport (CTA) -> Catania","missing","airport"
"Cesar Manrique-Lanzarote Airport (ACE)","2","Spain","Arrecife","from","Cesar Manrique-Lanzarote Airport (ACE) -> Arrecife || Cesar Manrique-Lanzarote Airport (ACE) -> Arrecife","missing","airport"
"Colombo Bandaranaike Airport (CMB)","2","Sri-Lanka","Colombo|Kandy","from","Colombo Bandaranaike Airport (CMB) -> Colombo || Colombo Bandaranaike Airport (CMB) -> Kandy","missing","airport"
"Dushanbe International Airport (DYU)","2","Tajikistan","Dushanbe","from","Dushanbe International Airport (DYU) -> Dushanbe || Dushanbe International Airport (DYU) -> Dushanbe","missing","airport"
"Entebbe International Airport (EBB)","2","Uganda","Entebbe","from","Entebbe International Airport (EBB) -> Entebbe || Entebbe International Airport (EBB) -> Entebbe","missing","airport"
"Gällivare Airport (GEV)","2","Sweden","Gällivare|Jokkmokk","from","Gällivare Airport (GEV) -> Gällivare || Gällivare Airport (GEV) -> Jokkmokk","missing","airport"
"Girona–Costa Brava Airport (GRO)","2","Spain","Barcelona El Prat Airport (BCN)","from","Girona–Costa Brava Airport (GRO) -> Barcelona El Prat Airport (BCN) || Girona–Costa Brava Airport (GRO) -> Barcelona El Prat Airport (BCN)","missing","airport"
"Hua Hin Pier (Excluding Ferry To Ko Lanta) Thailand","2","Thailand","Hua Hin Pier (Excluding Ferry To Ko Lanta) Thailand","to","Krabi International Airport (KBV) -> Hua Hin Pier (Excluding Ferry To Ko Lanta) Thailand || Krabi International Airport (KBV) -> Hua Hin Pier (Excluding Ferry To Ko Lanta) Thailand","missing","port"
"Kalmar Airport (KLR)","2","Sweden","Borgholm|Kalmar","from","Kalmar Airport (KLR) -> Borgholm || Kalmar Airport (KLR) -> Kalmar","missing","airport"
"Kapellskär port","2","Sweden","Kapellskär port","to","Stockholm Arlanda Airport (ARN) -> Kapellskär port || Stockholm Arlanda Airport (ARN) -> Kapellskär port","missing","port"
"Khuan Tung Ku Pier, Trang","2","Thailand","Khuan Tung Ku Pier, Trang","to","Phuket International Airport (HKT) -> Khuan Tung Ku Pier, Trang || Phuket International Airport (HKT) -> Khuan Tung Ku Pier, Trang","missing","port"
"Laem Khuat Pier, Krabi","2","Thailand","Laem Khuat Pier, Krabi","to","Phuket International Airport (HKT) -> Laem Khuat Pier, Krabi || Phuket International Airport (HKT) -> Laem Khuat Pier, Krabi","missing","port"
"Lipetsk Airport (LPK)","2","Russia","Lipetsk","from","Lipetsk Airport (LPK) -> Lipetsk || Lipetsk Airport (LPK) -> Lipetsk","missing","airport"
"Munich Franz Josef Strauß Airport (MUC)","2","Germany","Munich","from","Munich Franz Josef Strauß Airport (MUC) -> Munich || Munich Franz Josef Strauß Airport (MUC) -> Munich","missing","airport"
"Östersund Åre Airport (OSD)","2","Sweden","Åre / Are|Östersund","from","Östersund Åre Airport (OSD) -> Åre / Are || Östersund Åre Airport (OSD) -> Östersund","missing","airport"
"Pakmeng Pier, Trang","2","Thailand","Pakmeng Pier, Trang","to","Phuket International Airport (HKT) -> Pakmeng Pier, Trang || Phuket International Airport (HKT) -> Pakmeng Pier, Trang","missing","port"
"Palanga airport (PLQ)","2","Lithuania","Palanga","from","Palanga airport (PLQ) -> Palanga || Palanga airport (PLQ) -> Palanga","missing","airport"
"Petrozavodsk Airport (PES)","2","Russia","Petrozavodsk","from","Petrozavodsk Airport (PES) -> Petrozavodsk || Petrozavodsk Airport (PES) -> Petrozavodsk","missing","airport"
"Port of Stockholm (Frihamnen)","2","Sweden","Stockholm city center","from","Port of Stockholm (Frihamnen) -> Stockholm city center || Port of Stockholm (Frihamnen) -> Stockholm city center","missing","port"
"Port of Stockholm (Stadsgården)","2","Sweden","Stockholm city center","from","Port of Stockholm (Stadsgården) -> Stockholm city center || Port of Stockholm (Stadsgården) -> Stockholm city center","missing","port"
"Port of Stockholm (Värtahamnen)","2","Sweden","Stockholm city center","from","Port of Stockholm (Värtahamnen) -> Stockholm city center || Port of Stockholm (Värtahamnen) -> Stockholm city center","missing","port"
"Ronneby Airport (RNB)","2","Sweden","Karlskrona|Kristianstad","from","Ronneby Airport (RNB) -> Karlskrona || Ronneby Airport (RNB) -> Kristianstad","missing","airport"
"Stockholm Bromma Airport (BMA)","2","Sweden","Stockholm city center","from","Stockholm Bromma Airport (BMA) -> Stockholm city center || Stockholm Bromma Airport (BMA) -> Stockholm city center","missing","airport"
"Stockholm Skavsta Airport (NYO)","2","Sweden","Stockholm city center","from","Stockholm Skavsta Airport (NYO) -> Stockholm city center || Stockholm Skavsta Airport (NYO) -> Stockholm city center","missing","airport"
