"name","count","countries","cities","roles","samples","etoStatus"
"Åre / Are","1","Sweden","Åre / Are","to","Östersund Åre Airport (OSD) -> Åre / Are","missing"
"Avakas Bay","1","Cyprus","Avakas Bay","to","Larnaca Airport (LCA) -> Avakas Bay","missing"
"Freiburg im Breisgau","1","France","Freiburg im Breisgau","to","EuroAirport Basel Mulhouse Freiburg (MLH, BSL, EA -> Freiburg im Breisgau","missing"
"Managri","1","Cyprus","Managri","to","Larnaca Airport (LCA) -> Managri","missing"
"Pano Ardes","1","Cyprus","Pano Ardes","to","Paphos Airport (PFO) -> Pano Ardes","missing"
"Sadao Border (to Malaysia), Songkhla","2","Thailand","Sadao Border (to Malaysia), Songkhla","to","Phuket International Airport (HKT) -> Sadao Border (to Malaysia), Songkhla || Phuket International Airport (HKT) -> Sadao Border (to Malaysia), Songkhla","missing"
"Songkhla Province","2","Thailand","Songkhla Province","to","Phuket International Airport (HKT) -> Songkhla Province || Phuket International Airport (HKT) -> Songkhla Province","missing"
"Syvasenvaar","2","Finland","Syvasenvaar","to","Rovaniemi Airport (RVN) -> Syvasenvaar || Rovaniemi Airport (RVN) -> Syvasenvaar","missing"
