"name","count","countries","cities","roles","samples","etoStatus","category"
"Oslo Gardermoen Airport (OSL)","56","Norway","Arendal|Asker town|Beitostølen (Beitostolen)|Bergen City|Bærum|Drammen|Drøbak town|Enebakk|Fagerstrand|Fetsund|Flateby|Geilo, Norway|Geiranger|Gøteborg / Göteborg / Gothenburg|Hafjell (ski resort)|Halden|Hamar|Hemsedal|Hønefoss|Kolbotn|Kongsberg|Kongsvinger|Kristiansand|Kvitfjell stasjon, Kvitfjellvegen, Ringebu|Langhus|Larvik|Lillehammer|Lillestrøm|Lysaker, IT Fornebu, Snaroya (Oslo)|Lørenskog|Nesoddtangen|Nesøya / Nesbru|Nittedal|Norefjell|Oppegård|Oslo|Oslo Gardermoen Airport (OSL)|Oslo Winter Park|Rygge|Sandvika|Siggerud|Ski, Norway|Skjetten|Sofiemyr|Son|Stavanger|Stockholm city center|Strømmen|Torp Sandefjord Airport (TRF)|Trysil|Vestby|Ås","from|to","Oslo Gardermoen Airport (OSL) -> Arendal || Oslo Gardermoen Airport (OSL) -> Asker town || Oslo Gardermoen Airport (OSL) -> Beitostølen (Beitostolen)","missing","airport"
"Saint-Petersburg Pulkovo Airport (LED)","55","Russia","Gatchina|Kokkorevo|Krasnoe Selo|Kronstadt|Pargolovo|Pushkin|Saint Petersburg|Vsevolozhsk|Vyborg","from","Saint-Petersburg Pulkovo Airport (LED) -> Gatchina || Saint-Petersburg Pulkovo Airport (LED) -> Gatchina || Saint-Petersburg Pulkovo Airport (LED) -> Gatchina","missing","airport"
"Sharjah Airport (SHJ)","54","United Arab Emirates","Abu Dhabi|Ajman|Al Barsha, Dubai|Al Marjan Island|Bur Dubai Area|Deira Dubai|Downtown Dubai|Dubai Al Maktoum Airport (DWC)|Dubai Marina|Dubai international Airport (DXB)|Fujairah|Kalba / Qalba|Khor Fakkan|Mina Jebel Ali, Dubai|Palm Jumeirah|Ras Al Khaimah|Sharjah|Umm Al Quwain","from","Sharjah Airport (SHJ) -> Abu Dhabi || Sharjah Airport (SHJ) -> Abu Dhabi || Sharjah Airport (SHJ) -> Abu Dhabi","missing","airport"
"Amman Queen Alia Airport (AMM)","53","Jordan","Ajloun|Amman|Aqaba|Dana|Dead sea|Ibrid|Jerash|Karak|King Hussain Bridge|Maan|Madaba|Mafraq|Petra|Salt city|Sheikh Hussein Bridge|Wadi Rum|Zarqa area","from","Amman Queen Alia Airport (AMM) -> Ajloun || Amman Queen Alia Airport (AMM) -> Ajloun || Amman Queen Alia Airport (AMM) -> Ajloun","missing","airport"
"Fort Lauderdale-Hollywood International Airport (FLL)","52","United States of America","Fort Lauderdale City Florida USA|Fort Lauderdale-Hollywood International Airport (FLL)|Miami|Miami Beach|Miami airport (MIA)|Port Everglades|Port of Miami|West Palm Beach Airport (PBI)|West Palm Beach Florida USA","from|to","Fort Lauderdale-Hollywood International Airport (FLL) -> Fort Lauderdale City Florida USA || Fort Lauderdale-Hollywood International Airport (FLL) -> Fort Lauderdale City Florida USA || Fort Lauderdale-Hollywood International Airport (FLL) -> Fort Lauderdale City Florida USA","missing","airport"
"Amman Civil Airport (Marka) (ADJ)","51","Jordan","Ajloun|Amman|Aqaba|Dana|Dead sea|Ibrid|Jerash|Karak|King Hussain Bridge|Maan|Madaba|Mafraq|Petra|Salt city|Sheikh Hussein Bridge|Wadi Rum|Zarqa area","from","Amman Civil Airport (Marka) (ADJ) -> Ajloun || Amman Civil Airport (Marka) (ADJ) -> Ajloun || Amman Civil Airport (Marka) (ADJ) -> Ajloun","missing","airport"
"Surat Thani Airport (URT)","48","Thailand","Ao Luek District, Krabi|Ao Nang, Krabi|Chalong, Mueang, Phuket|Choeng Thale|Don Sak Pier, Surat Thani|Kamala beach, Phuket|Kao Lanta Pier Thailand|Karon Beach, Phuket|Kata Village and Beach, Phuket|Khao Lak, Phang Nga|Khao Sok National Park, Surat Thani|Ko Kaeo, Muaeng, Phuket|Mai Khao, Maikhao Phuket|Pa Khlok, Phuket|PaTong, Phuket|Phuket International Airport (HKT)|Phuket Island to delete|Phuket town|Ratsada, Mueang, Phuket|Rawai, Mueang, Phuket|Sakhu, Phuket|Surat Thani Airport (URT)|Surat Thani district|Wichit, Mueang, Phuket","from|to","Surat Thani Airport (URT) -> Ao Luek District, Krabi || Surat Thani Airport (URT) -> Ao Luek District, Krabi || Surat Thani Airport (URT) -> Ao Nang, Krabi","missing","airport"
"Krabi International Airport (KBV)","47","Thailand","Ao Nang Beach|Baan HuaHin (Koh Lanta) Thailand/ Hua Hin (Lanta) Thailand|Don Sak Pier, Surat Thani|Emerald Lake Hotel Thailand|Hot Waterfall Hotel/ Hot Stream Krabi Thailand|Hua Hin Pier (Excluding Ferry To Ko Lanta) Thailand|Kamala beach, Phuket|Kata Village and Beach, Phuket|Khao Lak, Phang Nga|Klong Muang Thailand|Koh Lanta Island|Krabi International Airport (KBV)|Krabi town|Mai Khao, Maikhao Phuket|Mueang, Phang Nga|PaTong, Phuket|Phuket International Airport (HKT)|Phuket Island to delete|Railay, Krabi|Sakhu, Phuket|Surat Thani district|Trang Province|Tubkaek Beach, Krabi|Wichit, Mueang, Phuket","from|to","Krabi International Airport (KBV) -> Ao Nang Beach || Krabi International Airport (KBV) -> Baan HuaHin (Koh Lanta) Thailand/ Hua Hin (Lanta) Thailand || Krabi International Airport (KBV) -> Baan HuaHin (Koh Lanta) Thailand/ Hua Hin (Lanta) Thailand","missing","airport"
"Moscow Sheremetyevo International Airport (SVO)","43","Russia","Moscow|Moscow Domodedovo International Airport (DME)|Moscow Sheremetyevo International Airport (SVO)|Moscow Vnukovo International Airport (VKO)|Moscow Zhukovsky International Airport (ZIA)|Sheraton Moscow Sheremetyevo Airport","from|to","Moscow Sheremetyevo International Airport (SVO) -> Moscow || Moscow Sheremetyevo International Airport (SVO) -> Moscow || Moscow Sheremetyevo International Airport (SVO) -> Moscow","missing","airport"
"Bangkok Don Muang Airport (DMK)","42","Thailand","Bangkok|Bangkok Don Muang Airport (DMK)|Bangkok Outskirts|Bangkok SUVarnabhumi Airport (BKK)|Erawan National Park (Kanchanaburi)|Hua Hin, PrachuapKhiriKhan|Kanchanaburi|Khao Yai National Park|Korat City (Nakhon Ratchasima)|Pattaya|Pattaya Jomtein beach, Pattaya|Phra Nakhon, Bangkok|Sangklaburi District Provincial|Sathorn district, Bangkok|Silom, Bangkok|Sukhumvit Road, Bangkok","from|to","Bangkok Don Muang Airport (DMK) -> Bangkok || Bangkok Don Muang Airport (DMK) -> Bangkok || Bangkok Don Muang Airport (DMK) -> Bangkok","missing","airport"
