"name","count","countries","cities","roles","samples","etoStatus","category"
"Kronstadt","8","Russia","Kronstadt","to","Saint-Petersburg Pulkovo Airport (LED) -> Kronstadt || Saint-Petersburg Pulkovo Airport (LED) -> Kronstadt || Saint-Petersburg Pulkovo Airport (LED) -> Kronstadt","missing","city"
"Tarabya, Sariyer, Zekeriyakoy","8","Turkey","Istanbul","to|from","Istanbul Airport (IST) -> Tarabya, Sariyer, Zekeriyakoy || Istanbul Airport (IST) -> Tarabya, Sariyer, Zekeriyakoy || Istanbul Sabiha Gokcen Airport (SAW) -> Tarabya, Sariyer, Zekeriyakoy","missing","city"
"Ulyanovsk","8","Russia","Ulyanovsk","to","Ulyanovsk Baratayevka Airport (ULV) -> Ulyanovsk || Ulyanovsk Baratayevka Airport (ULV) -> Ulyanovsk || Ulyanovsk Vostochny Airport (ULY) -> Ulyanovsk","missing","city"
"Annakil","7","Morocco","Annakil","to","Marrakesh Menara Airport (RAK) -> Annakil || Marrakesh Menara Airport (RAK) -> Annakil || Marrakesh Menara Airport (RAK) -> Annakil","missing","city"
"Asni","7","Morocco","Asni","to","Marrakesh Menara Airport (RAK) -> Asni || Marrakesh Menara Airport (RAK) -> Asni || Marrakesh Menara Airport (RAK) -> Asni","missing","city"
"Baku","7","Azerbaijan","Baku","to","Baku Heydar Aliyev International Airport (GYD) -> Baku || Baku Heydar Aliyev International Airport (GYD) -> Baku || Baku Heydar Aliyev International Airport (GYD) -> Baku","missing","city"
"Berlin","7","Germany","Berlin","to","Berlin Brandenburg Airport (BER) -> Berlin || Berlin Brandenburg Airport (BER) -> Berlin || Berlin Brandenburg Airport (BER) -> Berlin","missing","city"
"Big Buddha","7","Thailand","Big Buddha","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Big Buddha || Koh Samui - Mae Nam Port (Surat Thani ) -> Big Buddha || Samui International Airport (USM) -> Big Buddha","missing","city"
"Bogazkent / Boğazkent","7","Turkey","Bogazkent / Boğazkent","to","Antalya Airport (AYT) -> Bogazkent / Boğazkent || Antalya Airport (AYT) -> Bogazkent / Boğazkent || Antalya Airport (AYT) -> Bogazkent / Boğazkent","missing","city"
"cercle d' Loudaya","7","Morocco","cercle d' Loudaya","to","Marrakesh Menara Airport (RAK) -> cercle d' Loudaya || Marrakesh Menara Airport (RAK) -> cercle d' Loudaya || Marrakesh Menara Airport (RAK) -> cercle d' Loudaya","missing","city"
"Chalong, Mueang, Phuket","7","Thailand","Chalong, Mueang, Phuket","to","Phuket International Airport (HKT) -> Chalong, Mueang, Phuket || Phuket International Airport (HKT) -> Chalong, Mueang, Phuket || Phuket International Airport (HKT) -> Chalong, Mueang, Phuket","missing","city"
"Dubai Investments Park","7","United Arab Emirates","Dubai Investments Park","to","Dubai international Airport (DXB) -> Dubai Investments Park || Dubai international Airport (DXB) -> Dubai Investments Park || Dubai international Airport (DXB) -> Dubai Investments Park","missing","city"
"El Jadida","7","Morocco","El Jadida","to","Marrakesh Menara Airport (RAK) -> El Jadida || Marrakesh Menara Airport (RAK) -> El Jadida || Marrakesh Menara Airport (RAK) -> El Jadida","missing","city"
"EuroAirport Basel Mulhouse Freiburg (MLH, BSL, EA","7","France","Basel|Freiburg im Breisgau|Mulhouse","from","EuroAirport Basel Mulhouse Freiburg (MLH, BSL, EA -> Basel || EuroAirport Basel Mulhouse Freiburg (MLH, BSL, EA -> Basel || EuroAirport Basel Mulhouse Freiburg (MLH, BSL, EA -> Basel","missing","city"
"Gatchina","7","Russia","Gatchina","to","Saint-Petersburg Pulkovo Airport (LED) -> Gatchina || Saint-Petersburg Pulkovo Airport (LED) -> Gatchina || Saint-Petersburg Pulkovo Airport (LED) -> Gatchina","missing","city"
"Gelendzhik","7","Russia","Gelendzhik","to","Gelendzhik Airport (GDZ) -> Gelendzhik || Gelendzhik Airport (GDZ) -> Gelendzhik || Gelendzhik Airport (GDZ) -> Gelendzhik","missing","city"
"Ghantoot","7","United Arab Emirates","Ghantoot","to","Dubai international Airport (DXB) -> Ghantoot || Dubai international Airport (DXB) -> Ghantoot || Dubai international Airport (DXB) -> Ghantoot","missing","city"
"Gueliz","7","Morocco","Gueliz","to","Marrakesh Menara Airport (RAK) -> Gueliz || Marrakesh Menara Airport (RAK) -> Gueliz || Marrakesh Menara Airport (RAK) -> Gueliz","missing","city"
"Hivernage","7","Morocco","Hivernage","to","Marrakesh Menara Airport (RAK) -> Hivernage || Marrakesh Menara Airport (RAK) -> Hivernage || Marrakesh Menara Airport (RAK) -> Hivernage","missing","city"
"Irvine","7","United States of America","Irvine","to","John Wayne Airport (SNA) -> Irvine || John Wayne Airport (SNA) -> Irvine || John Wayne Airport (SNA) -> Irvine","missing","city"
"Lahore","7","Pakistan","Lahore","to","Lahore Allama Iqbal International Airport (LHE) -> Lahore || Lahore Allama Iqbal International Airport (LHE) -> Lahore || Lahore Allama Iqbal International Airport (LHE) -> Lahore","missing","city"
"Lake Forest, Mission Viejo","7","United States of America","Lake Forest, Mission Viejo","to","John Wayne Airport (SNA) -> Lake Forest, Mission Viejo || John Wayne Airport (SNA) -> Lake Forest, Mission Viejo || John Wayne Airport (SNA) -> Lake Forest, Mission Viejo","missing","city"
"Lipa-Noi","7","Thailand","Lipa-Noi","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Lipa-Noi || Koh Samui - Mae Nam Port (Surat Thani ) -> Lipa-Noi || Samui International Airport (USM) -> Lipa-Noi","missing","city"
"Los Angeles","7","United States of America","Las Vegas","from","Los Angeles -> Las Vegas || Los Angeles -> Las Vegas || Los Angeles -> Las Vegas","missing","city"
"Marrakesh city","7","Morocco","Marrakesh city","to","Marrakesh Menara Airport (RAK) -> Marrakesh city || Marrakesh Menara Airport (RAK) -> Marrakesh city || Marrakesh Menara Airport (RAK) -> Marrakesh city","missing","city"
"Menara + Hay Charaf + El Azzouzia","7","Morocco","Menara + Hay Charaf + El Azzouzia","to","Marrakesh Menara Airport (RAK) -> Menara + Hay Charaf + El Azzouzia || Marrakesh Menara Airport (RAK) -> Menara + Hay Charaf + El Azzouzia || Marrakesh Menara Airport (RAK) -> Menara + Hay Charaf + El Azzouzia","missing","city"
