"status","routeFrom","routeTo","vehicleType","sheetPrice","dbPrice","dbSource","supplier","manager","sourceQuotedAt","net","fxUsdEur","markup","formula","updatedAt","dbRowId"
"price_set_mismatch","Los Angeles Airport (LAX)","Los Angeles Downtown","Standard e-vehicle 3 pax","75.00 EUR","133.00 EUR","manual:circassian-sky-beslan-la-sales-from-net-2026-05-06","Circassian sky","Беслан","2026-04-27T19:50:00.000Z","120 USD","0.8512","30%","ceil(netUsd*fxUsdEur*1.30)","2026-05-06T14:24:14.835Z","cmm3d3o9r031hk8ppl81wfk15"
"price_set_mismatch","Los Angeles Airport (LAX)","Los Angeles Downtown","Standard MPV","44.00 EUR","67.00 EUR","manual:circassian-sky-beslan-la-sales-from-net-2026-05-06","Circassian sky","Беслан","2026-04-27T19:50:00.000Z","60 USD","0.8512","30%","ceil(netUsd*fxUsdEur*1.30)","2026-05-06T14:24:14.827Z","cmm3d3o9r031ik8ppax4i16w9"
"only_in_db","Los Angeles Airport (LAX)","Port of Los Angeles","Standard class car","","67","manual:circassian-sky-beslan-la-sales-from-net-2026-05-06","Circassian sky","Беслан","2026-04-27T19:50:00.000Z","60 USD","0.8512","30%","ceil(netUsd*fxUsdEur*1.30)","2026-05-06T14:24:14.885Z","cmou59jm20001u2jor972hukg"
"only_in_db","Los Angeles Airport (LAX)","Port of Los Angeles","Standard e-vehicle 3 pax","","155","manual:circassian-sky-beslan-la-sales-from-net-2026-05-06","Circassian sky","Беслан","2026-04-27T19:50:00.000Z","140 USD","0.8512","30%","ceil(netUsd*fxUsdEur*1.30)","2026-05-06T14:24:14.899Z","cmou59jmj0005u2jorqu5ml8i"
"only_in_db","Los Angeles Airport (LAX)","Port of Los Angeles","Standard MPV","","78","manual:circassian-sky-beslan-la-sales-from-net-2026-05-06","Circassian sky","Беслан","2026-04-27T19:50:00.000Z","70 USD","0.8512","30%","ceil(netUsd*fxUsdEur*1.30)","2026-05-06T14:24:14.892Z","cmou59jmc0003u2jox9b5mibv"
"only_in_db","Los Angeles Airport (LAX)","San Diego","Standard class car","","310","manual:circassian-sky-beslan-la-sales-from-net-2026-05-06","Circassian sky","Беслан","2026-04-27T19:50:00.000Z","280 USD","0.8512","30%","ceil(netUsd*fxUsdEur*1.30)","2026-05-06T14:24:14.927Z","cmou59jmr0007u2joxa2r8k02"
"only_in_db","Los Angeles Airport (LAX)","San Diego","Standard e-vehicle 3 pax","","443","manual:circassian-sky-beslan-la-sales-from-net-2026-05-06","Circassian sky","Беслан","2026-04-27T19:50:00.000Z","400 USD","0.8512","30%","ceil(netUsd*fxUsdEur*1.30)","2026-05-06T14:24:14.941Z","cmou59jn5000bu2joy4k73eue"
"only_in_db","Los Angeles Airport (LAX)","San Diego","Standard MPV","","332","manual:circassian-sky-beslan-la-sales-from-net-2026-05-06","Circassian sky","Беслан","2026-04-27T19:50:00.000Z","300 USD","0.8512","30%","ceil(netUsd*fxUsdEur*1.30)","2026-05-06T14:24:14.934Z","cmou59jmy0009u2jojvdz21co"
"price_set_mismatch","Los Angeles Airport (LAX)","Santa Monica","Standard class car","42.00 EUR","65.00 EUR","manual:circassian-sky-beslan-la-sales-from-net-2026-05-06","Circassian sky","Беслан","2026-04-27T19:50:00.000Z","58 USD","0.8512","30%","ceil(netUsd*fxUsdEur*1.30)","2026-05-06T14:24:14.842Z","cmm3d3o9s032tk8ppd62gxqgz"
"price_set_mismatch","Los Angeles Airport (LAX)","Santa Monica","Standard e-vehicle 3 pax","75.00 EUR","133.00 EUR","manual:circassian-sky-beslan-la-sales-from-net-2026-05-06","Circassian sky","Беслан","2026-04-27T19:50:00.000Z","120 USD","0.8512","30%","ceil(netUsd*fxUsdEur*1.30)","2026-05-06T14:24:14.856Z","cmm3d3o9s032uk8ppdmvv3qc6"
"price_set_mismatch","Los Angeles Airport (LAX)","Santa Monica","Standard MPV","43.00 EUR","67.00 EUR","manual:circassian-sky-beslan-la-sales-from-net-2026-05-06","Circassian sky","Беслан","2026-04-27T19:50:00.000Z","60 USD","0.8512","30%","ceil(netUsd*fxUsdEur*1.30)","2026-05-06T14:24:14.849Z","cmm3d3o9s032vk8ppppfl8bnu"
