"sourceFile","name","reason","description"
"batch9_cities_top100_after_batch7.kml","Konakli","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=5; countries=Turkey; category=city; geometrySource=google-viewport; googleViewport=31.89491,36.59121,31.89760,36.59390; geocode=Konaklı, 07491 Alanya/Antalya, Türkiye"
"batch9_cities_top100_after_batch7.kml","Malmö / Malmo","viewport_too_large_7.3746x3.5968","source=Riderra price book; count=5; countries=Denmark|Sweden; category=city; geometrySource=google-viewport; googleViewport=7.85520,54.43170,15.22980,58.02846; geocode=Denmark"
"batch9_cities_top100_after_batch7.kml","Railay, Krabi","viewport_too_small_0.0021x0.0046","source=Riderra price book; count=5; countries=Thailand; category=city; geometrySource=google-viewport; googleViewport=98.83596,8.00943,98.83805,8.01405; geocode=Railay Beach, Ao Nang, Krabi, Thailand"
"batch9_cities_top100_after_batch7.kml","Turkler / Türkler","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=5; countries=Turkey; category=city; geometrySource=google-viewport; googleViewport=31.81782,36.60138,31.82051,36.60408; geocode=Türkler, 07407 Alanya/Antalya, Türkiye"
"batch9_cities_top100_after_batch7.kml","Adrasan","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=4; countries=Turkey; category=city; geometrySource=google-viewport; googleViewport=30.43118,36.32894,30.43388,36.33163; geocode=Adrasan, 07350 Kumluca/Antalya, Türkiye"
"batch9_cities_top100_after_batch7.kml","Camyuva / Çamyuva","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=4; countries=Turkey; category=city; geometrySource=google-viewport; googleViewport=30.56532,36.56532,30.56802,36.56802; geocode=Çamyuva, 07990 Kemer/Antalya, Türkiye"
"batch9_cities_top100_after_batch7.kml","Cirali / Çıralı (Kemer, Antlaya)","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=4; countries=Turkey; category=city; geometrySource=google-viewport; googleViewport=30.47271,36.40326,30.47541,36.40595; geocode=Çıralı, Ulupınar, 07982 Kemer/Antalya, Türkiye"
"batch9_cities_top100_after_batch7.kml","Denizyaka","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=4; countries=Turkey; category=city; geometrySource=google-viewport; googleViewport=31.18405,36.85622,31.18675,36.85891; geocode=Denizyaka, 07550 Manavgat/Antalya, Türkiye"
"batch9_cities_top100_after_batch7.kml","Hamburg","viewport_too_large_1.9121x0.5699","source=Riderra price book; count=4; countries=Germany; category=city; geometrySource=google-viewport; googleViewport=8.41319,53.39501,10.32528,53.96491; geocode=Hamburg, Germany"
"batch9_cities_top100_after_batch7.kml","Kargıcak","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=4; countries=Turkey; category=city; geometrySource=google-viewport; googleViewport=32.12287,36.45856,32.12557,36.46126; geocode=Kargıcak Belediyesi, Kargıcak, 07400 Alanya/Antalya, Türkiye"
"batch9_cities_top100_after_batch7.kml","Kiris / Kiriş","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=4; countries=Turkey; category=city; geometrySource=google-viewport; googleViewport=30.57940,36.57364,30.58209,36.57634; geocode=Kiriş, 07980 Kemer/Antalya, Türkiye"
"batch10_cities_next100_after_batch7.kml","Okurcalar","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=4; countries=Turkey; category=city; geometrySource=google-viewport; googleViewport=31.69615,36.64865,31.69885,36.65135; geocode=Okurcalar, 07410 Alanya/Antalya, Türkiye"
"batch10_cities_next100_after_batch7.kml","San Diego (0-19 miles)","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=4; countries=United States of America; category=city; geometrySource=google-viewport; googleViewport=-117.14806,32.70395,-117.14536,32.70665; geocode=0 19th St, San Diego, CA 92102, USA"
"batch10_cities_next100_after_batch7.kml","San Diego (20-39 miles)","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=4; countries=United States of America; category=city; geometrySource=google-viewport; googleViewport=-117.11214,32.75049,-117.10944,32.75319; geocode=4114-20 39th St, San Diego, CA 92105, USA"
"batch10_cities_next100_after_batch7.kml","San Diego (40-59 miles)","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=4; countries=United States of America; category=city; geometrySource=google-viewport; googleViewport=-117.07220,32.70266,-117.06951,32.70536; geocode=40 59th St, San Diego, CA 92114, USA"
"batch10_cities_next100_after_batch7.kml","Tai Po","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=4; countries=China; category=city; geometrySource=google-viewport; googleViewport=113.18325,27.33182,113.18594,27.33451; geocode=Taipo, Lukou District, Zhuzhou, Hunan, China, 412112"
"batch10_cities_next100_after_batch7.kml","Tuen Mun","viewport_too_large_61.2762x35.5614","source=Riderra price book; count=4; countries=China; category=city; geometrySource=google-viewport; googleViewport=73.49927,17.99960,134.77546,53.56097; geocode=China"
"batch10_cities_next100_after_batch7.kml","Wong Tai Sin","viewport_too_large_61.2762x35.5614","source=Riderra price book; count=4; countries=China; category=city; geometrySource=google-viewport; googleViewport=73.49927,17.99960,134.77546,53.56097; geocode=China"
"batch10_cities_next100_after_batch7.kml","Yuen Long","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=4; countries=China; category=city; geometrySource=google-viewport; googleViewport=112.93647,22.76568,112.93917,22.76838; geocode=Yuanlang, Heshan, Jiangmen, Guangdong Province, China, 529700"
"batch10_cities_next100_after_batch7.kml","Bozburun (Marmaris)","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=3; countries=Turkey; category=city; geometrySource=google-viewport; googleViewport=28.06177,36.68233,28.06447,36.68502; geocode=Bozburun, Yeşilova, 48700 Marmaris/Muğla, Türkiye"
"batch10_cities_next100_after_batch7.kml","Doi Suthep Temple","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=3; countries=Thailand; category=city; geometrySource=google-viewport; googleViewport=98.91951,18.80315,98.92220,18.80585; geocode=Suthep, Mueang Chiang Mai District, Chiang Mai 50200, Thailand"
"batch10_cities_next100_after_batch7.kml","Incekum","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=3; countries=Turkey; category=city; geometrySource=google-viewport; googleViewport=31.73312,36.64379,31.73581,36.64649; geocode=İncekum, 07470 Alanya/Antalya, Türkiye"
"batch10_cities_next100_after_batch7.kml","Kaitaa / Soukka / Matinkyla / Olari / Latokaski","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=3; countries=Finland; category=city; geometrySource=google-viewport; googleViewport=24.65823,60.17585,24.66093,60.17855; geocode=Latokaski, 02340 Espoo, Finland"
"batch10_cities_next100_after_batch7.kml","Kizilot","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=3; countries=Turkey; category=city; geometrySource=google-viewport; googleViewport=31.56658,36.71686,31.56928,36.71956; geocode=Kızılot, 07600 Manavgat/Antalya, Türkiye"
"batch10_cities_next100_after_batch7.kml","Lampoon","viewport_too_large_0.6507x1.2827","source=Riderra price book; count=3; countries=Thailand; category=city; geometrySource=google-viewport; googleViewport=98.67082,17.42565,99.32154,18.70837; geocode=Lamphun, Thailand"
"batch10_cities_next100_after_batch7.kml","Oba","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=3; countries=Turkey; category=city; geometrySource=google-viewport; googleViewport=32.05780,36.54868,32.06050,36.55138; geocode=Oba, 07460 Alanya/Antalya, Türkiye"
"batch10_cities_next100_after_batch7.kml","Rauma","viewport_too_large_1.2207x0.2825","source=Riderra price book; count=3; countries=Finland; category=city; geometrySource=google-viewport; googleViewport=20.85031,60.99633,22.07097,61.27885; geocode=Rauma, Finland"
"batch10_cities_next100_after_batch7.kml","Rovaniemi City","viewport_too_large_2.5898x1.0292","source=Riderra price book; count=3; countries=Finland|Sweden; category=city; geometrySource=google-viewport; googleViewport=24.73687,66.15537,27.32668,67.18453; geocode=Rovaniemi, Finland"
"batch10_cities_next100_after_batch7.kml","Selimiye (Marmaris)","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=3; countries=Turkey; category=city; geometrySource=google-viewport; googleViewport=28.09248,36.70548,28.09518,36.70818; geocode=Selimiye, 48700 Marmaris/Muğla, Türkiye"
"batch10_cities_next100_after_batch7.kml","Shahdag (Quba, Qusar)","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=3; countries=Azerbaijan; category=city; geometrySource=google-viewport; googleViewport=48.50315,41.36086,48.50585,41.36356; geocode=66 Yusif Qasımov, Quba 4000, Azerbaijan"
"batch11_cities_next100_after_batch7.kml","Titreyengol lake","viewport_too_small_0.0042x0.0080","source=Riderra price book; count=3; countries=Turkey; category=city; geometrySource=google-viewport; googleViewport=31.45099,36.75204,31.45519,36.75999; geocode=Titreyengöl, Sorgun, 07600 Manavgat/Antalya, Türkiye"
"batch11_cities_next100_after_batch7.kml","Tufandag (Gabala)","viewport_too_small_0.0015x0.0016","source=Riderra price book; count=3; countries=Azerbaijan; category=city; geometrySource=google-viewport; googleViewport=47.87984,41.00570,47.88134,41.00728; geocode=Tufandag, Azerbaijan"
"batch11_cities_next100_after_batch7.kml","Anadolu transfer","viewport_too_small_0.0088x0.0059","source=Riderra price book; count=2; countries=Turkey; category=city; geometrySource=google-viewport; googleViewport=36.30749,41.28304,36.31631,41.28891; geocode=Anadolu, İlkadım/Samsun, Türkiye"
"batch11_cities_next100_after_batch7.kml","Ao Thalane Bay, Krabi","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=2; countries=Thailand; category=city; geometrySource=google-viewport; googleViewport=98.74681,8.14412,98.74951,8.14682; geocode=4PWX+57V, Soi Sao. Krabi 2025, Tambon Khao Thong, Amphoe Mueang Krabi, Chang Wat Krabi 81000, Thailand"
"batch11_cities_next100_after_batch7.kml","Bang Saen, Chon Buri","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=2; countries=Thailand; category=city; geometrySource=google-viewport; googleViewport=100.94848,13.27597,100.95118,13.27867; geocode=Bang Saen Ville, Huai Kapi, Chon Buri District, Chon Buri 20130, Thailand"
"batch11_cities_next100_after_batch7.kml","Central and Western","viewport_too_large_61.2762x35.5614","source=Riderra price book; count=2; countries=China; category=city; geometrySource=google-viewport; googleViewport=73.49927,17.99960,134.77546,53.56097; geocode=China"
"batch11_cities_next100_after_batch7.kml","Cheow Lan Dam, Surat Thani","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=2; countries=Thailand; category=city; geometrySource=google-viewport; googleViewport=98.80310,8.97532,98.80579,8.97802; geocode=Cheow Lan Lake, Khao Phang, Ban Ta Khun District, Surat Thani 84230, Thailand"
"batch11_cities_next100_after_batch7.kml","El Alamein","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=2; countries=Egypt; category=city; geometrySource=google-viewport; googleViewport=28.95296,30.82112,28.95566,30.82382; geocode=El-Alamein, Al Alameen City, El Alamein, Marsa Matrouh Governorate 5060335, Egypt"
"batch11_cities_next100_after_batch7.kml","Gåshaga","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=2; countries=Sweden; category=city; geometrySource=google-viewport; googleViewport=18.22828,59.35575,18.23098,59.35845; geocode=Gåshaga, 181 66 Lidingö, Sweden"
"batch11_cities_next100_after_batch7.kml","Grisslehamn","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=2; countries=Sweden; category=city; geometrySource=google-viewport; googleViewport=18.80440,60.09473,18.80710,60.09743; geocode=764 56 Grisslehamn, Sweden"
"batch11_cities_next100_after_batch7.kml","Heliopolis","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=2; countries=Egypt; category=city; geometrySource=google-viewport; googleViewport=31.34250,30.11097,31.34520,30.11366; geocode=Heliopolis, Al Matar, El Nozha, Cairo Governorate 4470351, Egypt"
"batch11_cities_next100_after_batch7.kml","Hetepuronpolku","viewport_too_small_0.0026x0.0013","source=Riderra price book; count=2; countries=Finland; category=city; geometrySource=google-viewport; googleViewport=25.85244,66.52268,25.85506,66.52395; geocode=Hetepuronpolku, 96900 Rovaniemi, Finland"
"batch11_cities_next100_after_batch7.kml","Karvonranta","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=2; countries=Finland; category=city; geometrySource=google-viewport; googleViewport=25.78904,66.50841,25.79173,66.51111; geocode=Karvonranta, 96600 Rovaniemi, Finland"
"batch11_cities_next100_after_batch7.kml","Korkalovaara","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=2; countries=Finland; category=city; geometrySource=google-viewport; googleViewport=25.66604,66.51058,25.66873,66.51328; geocode=Korkalovaara, 96500 Rovaniemi, Finland"
"batch11_cities_next100_after_batch7.kml","Nabq Bay","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=2; countries=Egypt; category=city; geometrySource=google-viewport; googleViewport=34.44431,28.03800,34.44700,28.04069; geocode=Nabq Bay, Egypt"
"batch11_cities_next100_after_batch7.kml","Nacka, Sweden","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=2; countries=Sweden; category=city; geometrySource=google-viewport; googleViewport=18.24615,59.30397,18.24885,59.30667; geocode=132 42 Nacka, Sweden"
"batch11_cities_next100_after_batch7.kml","Nathon-Lipa Thailand","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=2; countries=Thailand; category=city; geometrySource=google-viewport; googleViewport=99.93449,9.53272,99.93719,9.53541; geocode=Nathon Town, Ang Thong, Ko Samui District, Surat Thani 84140, Thailand"
"batch11_cities_next100_after_batch7.kml","Nivavaara","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=2; countries=Finland; category=city; geometrySource=google-viewport; googleViewport=25.82295,66.52747,25.82565,66.53017; geocode=Nivavaara, 96900 Rovaniemi, Finland"
"batch11_cities_next100_after_batch7.kml","Nusa dua","viewport_too_small_0.0040x0.0060","source=Riderra price book; count=2; countries=Indonesia; category=city; geometrySource=google-viewport; googleViewport=115.23177,-8.79884,115.23580,-8.79286; geocode=Nusa Dua Beach, Bali, Indonesia"
