"sourceFile","name","reason","description"
"batch9_cities_top100_after_batch7.kml","Petra","viewport_too_small_0.0244x0.0034","source=Riderra price book; count=6; countries=Jordan; category=city; geometrySource=google-viewport; googleViewport=35.44436,30.32502,35.46875,30.32845; geocode=Jordan"
"batch9_cities_top100_after_batch7.kml","Saint Petersburg","viewport_too_large_1.3397x0.6127","source=Riderra price book; count=6; countries=Russia; category=city; geometrySource=google-viewport; googleViewport=29.42480,59.63409,30.76454,60.24674; geocode=St Petersburg, Russia"
"batch9_cities_top100_after_batch7.kml","Sheikh Hussein Bridge","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=6; countries=Jordan; category=city; geometrySource=google-viewport; googleViewport=35.57384,32.49562,35.57654,32.49832; geocode=North District, Israel"
"batch9_cities_top100_after_batch7.kml","Avsallar","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=5; countries=Turkey; category=city; geometrySource=google-viewport; googleViewport=31.76591,36.62120,31.76861,36.62390; geocode=Avsallar, 07410 Alanya/Antalya, Türkiye"
"batch9_cities_top100_after_batch7.kml","Basel","viewport_too_large_118.9592x40.8565","source=Riderra price book; count=5; countries=France; category=city; geometrySource=google-viewport; googleViewport=-109.29675,10.26768,9.66250,51.12420; geocode=France"
"batch9_cities_top100_after_batch7.kml","Colakli / Çolaklı","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=5; countries=Turkey; category=city; geometrySource=google-viewport; googleViewport=31.31575,36.83559,31.31844,36.83829; geocode=Çolaklı, 07550 Manavgat/Antalya, Türkiye"
"batch9_cities_top100_after_batch7.kml","Evrenseki","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=5; countries=Turkey; category=city; geometrySource=google-viewport; googleViewport=31.35421,36.83698,31.35690,36.83968; geocode=Evrenseki, 07600 Manavgat/Antalya, Türkiye"
"batch9_cities_top100_after_batch7.kml","Hua Thanon, Samui","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=5; countries=Thailand; category=city; geometrySource=google-viewport; googleViewport=100.02145,9.43984,100.02415,9.44254; geocode=7 Soi 5, Khwaeng Suan Luang, Khet Suan Luang, Krung Thep Maha Nakhon 10250, Thailand"
"batch9_cities_top100_after_batch7.kml","Kadriye","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=5; countries=Turkey; category=city; geometrySource=google-viewport; googleViewport=31.00916,36.88415,31.01186,36.88685; geocode=Kadriye, 07525 Serik/Antalya, Türkiye"
"batch9_cities_top100_after_batch7.kml","Kizilagac / Kızılağaç","viewport_too_small_0.0027x0.0027","source=Riderra price book; count=5; countries=Turkey; category=city; geometrySource=google-viewport; googleViewport=31.53710,36.72945,31.53979,36.73215; geocode=Kızılağaç, 07600 Manavgat/Antalya, Türkiye"
