"name","count","countries","cities","roles","samples","etoStatus"
"Aleenta Phuket Phang Nga + NaTai","4","Thailand","Aleenta Phuket Phang Nga + NaTai","to","Phuket International Airport (HKT) -> Aleenta Phuket Phang Nga + NaTai || Phuket International Airport (HKT) -> Aleenta Phuket Phang Nga + NaTai || Phuket International Airport (HKT) -> Aleenta Phuket Phang Nga + NaTai","excluded_not_needed"
"Alexander Kartveli Batumi Airport (BUS)","7","Georgia","Batumi|Shekvetili","from","Alexander Kartveli Batumi Airport (BUS) -> Batumi || Alexander Kartveli Batumi Airport (BUS) -> Batumi || Alexander Kartveli Batumi Airport (BUS) -> Batumi","present_exact"
"Alicante","5","Spain","Alicante","to","Alicante Elche Airport (ALC) -> Alicante || Alicante Elche Airport (ALC) -> Alicante || Alicante Elche Airport (ALC) -> Alicante","present_exact"
"Alicante Elche Airport (ALC)","5","Spain","Alicante","from","Alicante Elche Airport (ALC) -> Alicante || Alicante Elche Airport (ALC) -> Alicante || Alicante Elche Airport (ALC) -> Alicante","present_exact"
"Almaty","3","Kazakhstan","Almaty","to","Almaty International Airport (ALA) -> Almaty || Almaty International Airport (ALA) -> Almaty || Almaty International Airport (ALA) -> Almaty","present_exact"
"Almaty International Airport (ALA)","3","Kazakhstan","Almaty","from","Almaty International Airport (ALA) -> Almaty || Almaty International Airport (ALA) -> Almaty || Almaty International Airport (ALA) -> Almaty","present_exact"
"Älvsjö district (Alvsjo), Stockholm","2","Sweden","Älvsjö district (Alvsjo), Stockholm","to","Stockholm Arlanda Airport (ARN) -> Älvsjö district (Alvsjo), Stockholm || Stockholm Arlanda Airport (ARN) -> Älvsjö district (Alvsjo), Stockholm","present_exact"
"Amed Beach","1","Indonesia","Amed Beach","to","Denpasar Ngurah Rai Airport (DPS) -> Amed Beach","present_exact"
"Amman","8","Jordan","Amman","to","Amman Civil Airport (Marka) (ADJ) -> Amman || Amman Civil Airport (Marka) (ADJ) -> Amman || Amman Civil Airport (Marka) (ADJ) -> Amman","present_exact"
"Amman Civil Airport (Marka) (ADJ)","51","Jordan","Ajloun|Amman|Aqaba|Dana|Dead sea|Ibrid|Jerash|Karak|King Hussain Bridge|Maan|Madaba|Mafraq|Petra|Salt city|Sheikh Hussein Bridge|Wadi Rum|Zarqa area","from","Amman Civil Airport (Marka) (ADJ) -> Ajloun || Amman Civil Airport (Marka) (ADJ) -> Ajloun || Amman Civil Airport (Marka) (ADJ) -> Ajloun","present_exact"
"Amman Queen Alia Airport (AMM)","53","Jordan","Ajloun|Amman|Aqaba|Dana|Dead sea|Ibrid|Jerash|Karak|King Hussain Bridge|Maan|Madaba|Mafraq|Petra|Salt city|Sheikh Hussein Bridge|Wadi Rum|Zarqa area","from","Amman Queen Alia Airport (AMM) -> Ajloun || Amman Queen Alia Airport (AMM) -> Ajloun || Amman Queen Alia Airport (AMM) -> Ajloun","present_exact"
"Amsterdam","4","Netherlands","Amsterdam","to","Amsterdam Airport Schiphol (AMS) -> Amsterdam || Amsterdam Airport Schiphol (AMS) -> Amsterdam || Amsterdam Airport Schiphol (AMS) -> Amsterdam","present_exact"
"Amsterdam Airport Schiphol (AMS)","4","Netherlands","Amsterdam","from","Amsterdam Airport Schiphol (AMS) -> Amsterdam || Amsterdam Airport Schiphol (AMS) -> Amsterdam || Amsterdam Airport Schiphol (AMS) -> Amsterdam","present_exact"
"Anadolu transfer","2","Turkey","Istanbul","to","Bursa -> Anadolu transfer || Bursa -> Anadolu transfer","present_exact"
"Anaheim","18","United States of America","Anaheim|Los Angeles","to","John Wayne Airport (SNA) -> Anaheim || John Wayne Airport (SNA) -> Anaheim || John Wayne Airport (SNA) -> Anaheim","present_exact"
"Anantara Bophut Koh Samui Resort","1","Thailand","Anantara Bophut Koh Samui Resort","to","Samui International Airport (USM) -> Anantara Bophut Koh Samui Resort","excluded_not_needed"
"Anapa","2","Russia","Anapa","to","Anapa Vityazevo Airport (AAQ) -> Anapa || Anapa Vityazevo Airport (AAQ) -> Anapa","present_exact"
"Anapa Vityazevo Airport (AAQ)","2","Russia","Anapa","from","Anapa Vityazevo Airport (AAQ) -> Anapa || Anapa Vityazevo Airport (AAQ) -> Anapa","present_exact"
"Andermatt","5","Switzerland","Andermatt","to","Zurich Airport (ZRH) -> Andermatt || Zurich Airport (ZRH) -> Andermatt || Zurich Airport (ZRH) -> Andermatt","present_exact"
"Ängelholm / Angelholm","2","Sweden","Ängelholm / Angelholm","to","Ängelholm Airport (AGH) -> Ängelholm / Angelholm || Ängelholm Airport (AGH) -> Ängelholm / Angelholm","present_exact"
"Ängelholm Airport (AGH)","4","Sweden","Helsingborg|Ängelholm / Angelholm","from","Ängelholm Airport (AGH) -> Helsingborg || Ängelholm Airport (AGH) -> Helsingborg || Ängelholm Airport (AGH) -> Ängelholm / Angelholm","present_exact"
"Angthong district","5","Thailand","Angthong district","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Angthong district || Koh Samui - Mae Nam Port (Surat Thani ) -> Angthong district || Samui International Airport (USM) -> Angthong district","present_exact"
"Annakil","7","Morocco","Annakil","to","Marrakesh Menara Airport (RAK) -> Annakil || Marrakesh Menara Airport (RAK) -> Annakil || Marrakesh Menara Airport (RAK) -> Annakil","present_exact"
"Anogyra","1","Cyprus","Anogyra","to","Larnaca Airport (LCA) -> Anogyra","present_exact"
"Ansan","10","South Korea","Ansan","to","Seoul Gimpo Airport (GMP) -> Ansan || Seoul Gimpo Airport (GMP) -> Ansan || Seoul Gimpo Airport (GMP) -> Ansan","present_exact"
