"name","count","countries","cities","roles","samples","etoStatus","category"
"Klong Muang Beach, Krabi","2","Thailand","Klong Muang Beach, Krabi","to","Phuket International Airport (HKT) -> Klong Muang Beach, Krabi || Phuket International Airport (HKT) -> Klong Muang Beach, Krabi","missing","district_area"
"Klong Thom District, Krabi","2","Thailand","Klong Thom District, Krabi","to","Phuket International Airport (HKT) -> Klong Thom District, Krabi || Phuket International Airport (HKT) -> Klong Thom District, Krabi","missing","district_area"
"Koh Chang","2","Thailand","Koh Chang","to","Bangkok Suvarnabhumi Airport (BKK) -> Koh Chang || Bangkok Suvarnabhumi Airport (BKK) -> Koh Chang","missing","island"
"Koh Jum Island, Krabi","2","Thailand","Koh Jum Island, Krabi","to","Phuket International Airport (HKT) -> Koh Jum Island, Krabi || Phuket International Airport (HKT) -> Koh Jum Island, Krabi","missing","island"
"Koh Matsum (Including boat transfer) Thailand","2","Thailand","Koh Matsum (Including boat transfer) Thailand","to","Samui International Airport (USM) -> Koh Matsum (Including boat transfer) Thailand || Samui International Airport (USM) -> Koh Matsum (Including boat transfer) Thailand","missing","island"
"Noppharat Thara Beach, Krabi","2","Thailand","Noppharat Thara Beach, Krabi","to","Phuket International Airport (HKT) -> Noppharat Thara Beach, Krabi || Phuket International Airport (HKT) -> Noppharat Thara Beach, Krabi","missing","district_area"
"Pak Meng Beach,Trang","2","Thailand","Pak Meng Beach,Trang","to","Phuket International Airport (HKT) -> Pak Meng Beach,Trang || Phuket International Airport (HKT) -> Pak Meng Beach,Trang","missing","district_area"
"Pratunam, Bangkok","2","Thailand","Pratunam, Bangkok","to","Bangkok Suvarnabhumi Airport (BKK) -> Pratunam, Bangkok || Bangkok Suvarnabhumi Airport (BKK) -> Pratunam, Bangkok","missing","district_area"
"Samoeng district","2","Thailand","Samoeng district","to","Chiang Mai International Airport (CNX) -> Samoeng district || Chiang Mai International Airport (CNX) -> Samoeng district","missing","district_area"
"Sikao, Sikao District, Trang","2","Thailand","Sikao, Sikao District, Trang","to","Phuket International Airport (HKT) -> Sikao, Sikao District, Trang || Phuket International Airport (HKT) -> Sikao, Sikao District, Trang","missing","district_area"
"Skarpnäck district, Stockholm","2","Sweden","Skarpnäck district, Stockholm","to","Stockholm Arlanda Airport (ARN) -> Skarpnäck district, Stockholm || Stockholm Arlanda Airport (ARN) -> Skarpnäck district, Stockholm","missing","district_area"
"Suez city centre","2","Egypt","Suez city centre","to","Cairo International Airport (CAI) -> Suez city centre || Cairo International Airport (CAI) -> Suez city centre","missing","district_area"
"Wan Chai district, Hong Kong","2","China","Wan Chai district, Hong Kong","to","Hong Kong Airport (HKG) -> Wan Chai district, Hong Kong || Hong Kong Airport (HKG) -> Wan Chai district, Hong Kong","missing","district_area"
"Aarhus outside city center","1","Denmark","Aarhus","to","Aarhus Airport (AAR) -> Aarhus outside city center","missing","district_area"
"Amed Beach","1","Indonesia","Amed Beach","to","Denpasar Ngurah Rai Airport (DPS) -> Amed Beach","missing","district_area"
"Ao Nang Beach","1","Thailand","Ao Nang Beach","to","Krabi International Airport (KBV) -> Ao Nang Beach","missing","district_area"
"Dania Beach","1","United States of America","Dania Beach","to","Port Everglades -> Dania Beach","missing","district_area"
"Hang Dong District","1","Thailand","Hang Dong District","to","Chiang Mai International Airport (CNX) -> Hang Dong District","missing","district_area"
"Jeju city center","1","South Korea","Jeju city center","to","Jeju Airport (CJU) -> Jeju city center","missing","district_area"
"Jeju outskirts","1","South Korea","Jeju outskirts","to","Jeju Airport (CJU) -> Jeju outskirts","missing","district_area"
"Khaosan, Bangkok","1","Thailand","Khaosan, Bangkok","to","Bangkok Suvarnabhumi Airport (BKK) -> Khaosan, Bangkok","missing","district_area"
"Khlong Thoei, bangkok","1","Thailand","Khlong Thoei, bangkok","to","Bangkok Suvarnabhumi Airport (BKK) -> Khlong Thoei, bangkok","missing","district_area"
"Lovina Beach","1","Indonesia","Lovina Beach","to","Denpasar Ngurah Rai Airport (DPS) -> Lovina Beach","missing","district_area"
"mae salong district","1","Thailand","mae salong district","to","Chiang Mai International Airport (CNX) -> mae salong district","missing","district_area"
"Philadelphia City Center, USA","1","United States of America","Philadelphia City Center, USA","to","Northeast Philadelphia Airport (PNE) -> Philadelphia City Center, USA","missing","district_area"
"Philadelphia City Center, USA (11-25 miles)","1","United States of America","Philadelphia City Center, USA (11-25 miles)","to","Philadelphia International Airport (PHL) -> Philadelphia City Center, USA (11-25 miles)","missing","district_area"
"Philadelphia City Center, USA (26-30 miles)","1","United States of America","Philadelphia City Center, USA (26-30 miles)","to","Philadelphia International Airport (PHL) -> Philadelphia City Center, USA (26-30 miles)","missing","district_area"
"Philadelphia City Center, USA (up to 10 miles)","1","United States of America","Philadelphia City Center, USA (up to 10 miles)","to","Philadelphia International Airport (PHL) -> Philadelphia City Center, USA (up to 10 miles)","missing","district_area"
"Seogwipo City Center","1","South Korea","Seogwipo City Center","to","Jeju Airport (CJU) -> Seogwipo City Center","missing","district_area"
