"routeFrom","routeTo","vehicleType","oldSheetPrice","oldDbPrice","newPrice","currency","sheetRowId","dbRowId"
"Long Beach Airport (LGB)","Ojai+ Oak View","Standard e-vehicle 3 pax","200.52","200.51","200","EUR","3645","cmm3d3o9o02unk8ppd7o4ecsq"
"Long Beach Airport (LGB)","San Marcos+Rancho Santa Fe+Escondido","Standard e-vehicle 3 pax","224.11","224.10","224","EUR","3736","cmm3d3o9p02x6k8pp6g4z4bik"
