"name","count","countries","cities","roles","samples","etoStatus","category"
"Paris","25","France","Disneyland|Paris","from|to","Paris -> Disneyland || Paris -> Disneyland || Paris -> Disneyland","missing","city"
"Moscow","24","Russia","Moscow","to","Moscow Domodedovo International Airport (DME) -> Moscow || Moscow Domodedovo International Airport (DME) -> Moscow || Moscow Domodedovo International Airport (DME) -> Moscow","missing","city"
"Calabasas","21","United States of America","Calabasas","to","John Wayne Airport (SNA) -> Calabasas || John Wayne Airport (SNA) -> Calabasas || John Wayne Airport (SNA) -> Calabasas","missing","city"
"Jurupa Valley","21","United States of America","Jurupa Valley","to","John Wayne Airport (SNA) -> Jurupa Valley || John Wayne Airport (SNA) -> Jurupa Valley || John Wayne Airport (SNA) -> Jurupa Valley","missing","city"
"Pomona","21","United States of America","Pomona","to","John Wayne Airport (SNA) -> Pomona || John Wayne Airport (SNA) -> Pomona || John Wayne Airport (SNA) -> Pomona","missing","city"
"San Bernardino","21","United States of America","San Bernardino","to","John Wayne Airport (SNA) -> San Bernardino || John Wayne Airport (SNA) -> San Bernardino || John Wayne Airport (SNA) -> San Bernardino","missing","city"
"San Fernando","21","United States of America","San Fernando","to","John Wayne Airport (SNA) -> San Fernando || John Wayne Airport (SNA) -> San Fernando || John Wayne Airport (SNA) -> San Fernando","missing","city"
"Torrance","21","United States of America","Torrance","to","Long Beach Airport (LGB) -> Torrance || Long Beach Airport (LGB) -> Torrance || Long Beach Airport (LGB) -> Torrance","missing","city"
"Dallas","20","United States of America","Dallas","to","Dallas Addison Airport (ADS) -> Dallas || Dallas Addison Airport (ADS) -> Dallas || Dallas Addison Airport (ADS) -> Dallas","missing","city"
"Disneyland","20","France","Disneyland","to","Charles de Gaulle Airport (CDG) -> Disneyland || Charles de Gaulle Airport (CDG) -> Disneyland || Charles de Gaulle Airport (CDG) -> Disneyland","missing","city"
"Miami","20","United States of America","Miami","to","Fort Lauderdale-Hollywood International Airport (FLL) -> Miami || Fort Lauderdale-Hollywood International Airport (FLL) -> Miami || Fort Lauderdale-Hollywood International Airport (FLL) -> Miami","missing","city"
"Ontario","19","United States of America","Ontario","to","John Wayne Airport (SNA) -> Ontario || John Wayne Airport (SNA) -> Ontario || John Wayne Airport (SNA) -> Ontario","missing","city"
"Milan","16","Italy","Milan","to","Bergamo Orio al Serio Airport (BGY) -> Milan || Bergamo Orio al Serio Airport (BGY) -> Milan || Bergamo Orio al Serio Airport (BGY) -> Milan","missing","city"
"Orange","16","United States of America","Orange","to","John Wayne Airport (SNA) -> Orange || John Wayne Airport (SNA) -> Orange || John Wayne Airport (SNA) -> Orange","missing","city"
"Bangkok","15","Thailand","Bangkok","to","Ban Phe Port -> Bangkok || Ban Phe Port -> Bangkok || Bangkok Don Muang Airport (DMK) -> Bangkok","missing","city"
"New York","15","United States of America","New York","to","New York John F. Kennedy Airport (JFK) -> New York || New York John F. Kennedy Airport (JFK) -> New York || New York John F. Kennedy Airport (JFK) -> New York","missing","city"
"Ajman","14","United Arab Emirates","Ajman","to","Abu Dhabi International Airport (AUH) -> Ajman || Abu Dhabi International Airport (AUH) -> Ajman || Abu Dhabi International Airport (AUH) -> Ajman","missing","city"
"Bakersfield","14","United States of America","Bakersfield","to","John Wayne Airport (SNA) -> Bakersfield || John Wayne Airport (SNA) -> Bakersfield || John Wayne Airport (SNA) -> Bakersfield","missing","city"
"Buena Park","14","United States of America","Buena Park","to","John Wayne Airport (SNA) -> Buena Park || John Wayne Airport (SNA) -> Buena Park || John Wayne Airport (SNA) -> Buena Park","missing","city"
